Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO LOURENCO DO SUL,0,0,0,370,32,11,53,4,34,4,33,27
SAO LUIZ GONZAGA,5,5,1,1122,62,35,90,1,49,40,49,51
SAO MARCOS,2,2,0,290,11,25,33,14,25,11,47,17
SAO MARTINHO,3,3,0,57,0,2,9,5,5,0,6,1
SAO MARTINHO DA SERRA,0,0,0,48,20,0,3,0,2,0,0,1
SAO MIGUEL DAS MISSOES,0,0,0,67,25,0,6,0,5,4,2,0
SAO NICOLAU,1,2,0,99,38,0,0,0,1,12,1,2
SAO PAULO DAS MISSOES,1,1,0,17,3,0,2,1,2,2,1,1
SAO PEDRO DA SERRA,0,0,0,15,0,0,0,1,1,0,2,1
SAO PEDRO DAS MISSOES,0,0,0,25,5,0,5,0,1,0,1,0
SAO PEDRO DO BUTIA,0,0,0,31,6,1,3,0,1,0,0,0
SAO PEDRO DO SUL,0,0,0,395,76,13,30,0,7,11,5,8
SAO SEBASTIAO DO CAI,6,6,0,349,15,16,58,10,32,14,112,23
SAO SEPE,5,5,0,386,33,11,46,1,11,19,31,18
SAO VALENTIM,0,0,0,32,2,2,1,1,1,2,0,0
SAO VALENTIM DO SUL,0,0,0,12,3,0,0,0,1,2,1,0
SAO VALERIO DO SUL,0,0,1,8,2,0,2,0,1,1,0,0
SAO VENDELINO,0,0,0,25,0,1,2,1,1,1,0,0
SAO VICENTE DO SUL,0,0,0,127,48,2,4,1,4,4,3,2
SAPIRANGA,18,19,1,769,17,136,280,66,100,29,17,50
SAPUCAIA DO SUL,41,44,2,1267,23,382,1628,325,184,67,149,136
SARANDI,6,7,0,216,11,9,48,8,17,9,11,17
SEBERI,2,2,1,132,11,4,14,1,5,10,14,5
SEDE NOVA,0,0,1,11,0,2,3,2,0,2,0,0
SEGREDO,2,2,0,40,11,3,3,1,3,3,0,1
SELBACH,0,0,0,35,1,10,3,2,4,0,1,0
SENADOR SALGADO FILHO,0,0,0,15,2,0,1,0,0,0,0,0
SENTINELA DO SUL,4,4,1,55,17,10,24,6,1,3,0,0
SERAFINA CORREA,0,0,0,153,6,3,11,1,30,4,17,4
SERIO,0,0,0,17,0,1,1,0,0,1,1,0
SERTAO,1,1,0,84,10,1,10,1,10,5,0,0
SERTAO SANTANA,0,0,0,47,7,4,6,4,6,1,0,0
SETE DE SETEMBRO,0,0,0,21,11,0,2,0,0,3,0,0
SEVERIANO DE ALMEIDA,0,0,0,45,1,0,0,0,5,2,1,0
SILVEIRA MARTINS,0,0,0,19,2,0,2,1,2,0,2,0
SINIMBU,1,1,0,31,1,1,4,0,1,4,1,0
SOBRADINHO,3,3,0,296,16,14,37,1,24,5,25,10
SOLEDADE,4,4,0,527,95,24,67,2,50,24,49,39
TABAI,0,0,0,45,6,1,21,5,4,3,1,2
TAPEJARA,2,2,0,277,4,15,23,7,34,9,12,10
TAPERA,0,0,0,79,5,15,5,1,9,3,16,28
TAPES,6,6,1,277,57,12,96,7,13,14,3,7
TAQUARA,10,10,1,582,24,117,172,76,81,26,58,37
TAQUARI,4,4,1,299,28,23,45,14,30,8,21,7
TAQUARUCU DO SUL,0,0,0,21,1,0,2,0,0,4,0,0
TAVARES,0,0,0,95,25,6,10,0,3,3,4,10
TENENTE PORTELA,7,7,0,227,17,20,18,3,12,8,11,12
TERRA DE AREIA,0,0,0,221,27,8,37,3,11,8,10,7
TEUTONIA,1,1,0,257,4,10,38,4,28,5,35,10
TIO HUGO,0,0,1,36,5,1,7,2,2,3,1,3
TIRADENTES DO SUL,1,1,0,16,3,6,2,0,1,1,2,2
TOROPI,0,0,0,20,11,0,0,0,1,3,0,0
TORRES,11,11,0,664,12,85,150,15,135,23,80,74
TRAMANDAI,30,34,1,1454,20,102,398,46,179,46,121,129
TRAVESSEIRO,0,0,0,2,1,0,1,0,1,1,0,0
TRES ARROIOS,0,0,0,16,0,0,0,0,3,1,0,0
TRES CACHOEIRAS,0,0,0,128,26,18,32,2,17,2,3,2
TRES COROAS,2,3,0,282,5,16,27,2,9,11,35,27
TRES DE MAIO,2,3,0,299,17,10,13,1,23,8,44,37
TRES FORQUILHAS,0,0,0,28,5,4,9,1,0,2,0,2
TRES PALMEIRAS,0,0,0,31,7,2,5,4,0,0,3,0
TRES PASSOS,5,5,0,440,8,30,34,2,32,19,20,18
TRINDADE DO SUL,0,0,0,55,10,12,6,2,3,4,1,1
TRIUNFO,4,5,0,273,35,15,78,17,28,21,40,27
TUCUNDUVA,0,0,0,48,3,6,3,0,2,1,4,0
TUNAS,0,0,0,11,3,1,0,0,3,3,2,1
TUPANCI DO SUL,0,0,0,14,4,0,1,0,2,3,0,0
TUPANCIRETA,0,0,1,389,45,7,53,1,5,8,13,5
TUPANDI,0,0,0,8,0,1,0,0,0,0,4,0
TUPARENDI,0,0,0,51,4,4,2,0,5,4,2,1
TURUCU,0,0,0,23,3,1,1,0,1,1,0,0
UBIRETAMA,0,0,0,13,0,1,0,0,1,1,0,0
UNIAO DA SERRA,0,0,0,8,0,0,1,0,0,1,0,0
UNISTALDA,0,0,0,31,8,1,0,0,2,0,1,0
URUGUAIANA,12,12,2,1801,145,105,817,15,125,72,91,110
VACARIA,6,6,1,1326,52,70,233,10,82,82,94,83
VALE DO SOL,0,0,0,88,6,7,4,0,2,8,2,2
VALE REAL,0,0,0,27,1,5,5,2,6,0,5,0
VALE VERDE,0,0,0,45,6,1,3,1,0,0,0,0
VANINI,0,0,0,17,2,3,0,0,1,0,0,0
VENANCIO AIRES,15,17,0,686,52,51,121,17,57,17,62,39
VERA CRUZ,4,4,0,220,14,65,45,11,19,10,3,3
VERANOPOLIS,3,3,0,330,25,40,19,0,41,9,45,11
VESPASIANO CORREA,0,0,0,10,0,0,2,0,0,1,0,0
VIADUTOS,0,0,0,124,6,0,3,0,1,7,0,0
VIAMAO,106,112,5,2171,93,437,4211,969,285,130,220,248
VICENTE DUTRA,1,1,0,34,4,1,0,1,1,5,2,1
VICTOR GRAEFF,0,0,0,29,12,2,4,2,1,3,0,0
VILA FLORES,0,0,0,24,1,3,0,2,3,0,1,1
VILA LANGARO,0,0,0,18,2,1,0,0,0,0,1,0
VILA MARIA,0,0,0,44,4,4,3,3,5,1,0,0
VILA NOVA DO SUL,0,0,0,70,26,3,2,0,1,1,0,0
VISTA ALEGRE,0,0,0,16,2,3,0,0,2,1,0,0
VISTA ALEGRE DO PRATA,0,0,0,10,0,0,0,0,0,0,0,1
VISTA GAUCHA,0,0,0,9,1,1,0,0,1,3,2,1
VITORIA DAS MISSOES,0,0,0,30,12,2,0,0,1,4,0,0
WESTFALIA,0,0,0,12,0,0,0,2,0,0,1,1
XANGRI-LA,5,5,0,884,11,33,178,16,40,9,80,35
