Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
DAVID CANABARRO,0,0,0,11,0,3,1,0,1,2,0,0
DERRUBADAS,0,0,0,11,5,0,0,0,3,2,0,0
DEZESSEIS DE NOVEMBRO,1,1,0,7,2,0,0,0,0,2,0,0
DILERMANDO DE AGUIAR,0,0,0,8,7,0,0,0,2,1,0,0
DOIS IRMAOS,0,0,0,83,0,7,23,5,12,0,26,11
DOIS IRMAOS DAS MISSOES,0,0,0,1,0,0,0,0,0,0,0,0
DOIS LAJEADOS,0,0,0,13,1,0,0,2,1,0,0,0
DOM FELICIANO,0,0,0,51,9,4,8,1,3,9,2,3
DOM PEDRITO,3,3,0,295,32,12,46,0,27,15,16,12
DOM PEDRO DE ALCANTARA,0,0,0,10,1,0,0,1,0,1,0,0
DONA FRANCISCA,0,0,0,18,1,0,0,0,0,0,1,0
DOUTOR RICARDO,0,0,0,5,0,1,0,0,0,0,0,0
DR MAURICIO CARDOSO,0,0,0,12,2,0,1,0,0,1,1,1
ELDORADO DO SUL,8,9,0,175,4,13,90,14,23,11,20,31
ENCANTADO,4,4,0,137,1,5,7,0,16,9,19,16
ENCRUZILHADA DO SUL,6,6,0,209,35,15,29,1,11,11,6,4
ENGENHO VELHO,0,0,0,5,0,1,2,0,0,1,0,0
ENTRE IJUIS,1,1,0,42,4,0,1,0,5,5,3,0
ENTRE RIOS DO SUL,0,0,0,16,2,2,1,0,2,1,0,1
EREBANGO,1,1,0,25,3,4,3,0,3,1,1,1
ERECHIM,8,8,0,649,6,95,110,17,103,88,141,43
ERNESTINA,0,0,0,26,6,1,3,3,1,2,0,0
ERVAL GRANDE,0,0,0,12,1,0,0,0,0,1,0,1
ERVAL SECO,1,1,0,24,6,1,0,0,2,5,0,0
ESMERALDA,0,0,0,28,2,0,2,0,1,2,1,0
ESPERANCA DO SUL,0,0,0,1,0,1,1,0,0,1,1,1
ESPUMOSO,1,1,0,74,10,6,2,2,7,4,9,14
ESTACAO,1,1,0,18,4,1,3,1,1,1,4,0
ESTANCIA VELHA,0,0,0,190,1,25,99,41,35,10,25,8
