Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
SANANDUVA,0,0,0,112,7,7,15,0,9,12,4,9,0,0
SANTA BARBARA DO SUL,0,0,0,80,9,4,15,2,17,17,7,19,0,0
SANTA CECILIA DO SUL,0,0,0,15,2,1,0,1,0,2,3,0,0,0
SANTA CLARA DO SUL,0,0,0,29,3,5,3,0,5,2,0,0,0,0
SANTA CRUZ DO SUL,20,20,1,1662,30,360,403,22,283,39,74,176,1,0
SANTA MARGARIDA DO SUL,0,0,0,36,15,0,0,1,2,2,0,0,0,0
SANTA MARIA,37,40,2,3658,90,242,1325,23,886,188,327,287,2,0
SANTA MARIA DO HERVAL,0,0,0,28,2,4,11,1,1,1,3,0,0,0
SANTA ROSA,10,10,0,521,10,33,32,4,140,48,199,137,0,0
SANTA TEREzA,0,0,0,7,1,0,0,0,0,1,3,0,0,0
SANTA VITORIA DO PALMAR,4,4,0,629,96,33,96,3,56,18,13,26,0,0
SANTANA DA BOA VISTA,0,0,0,48,9,1,12,0,4,7,4,2,0,0
SANTANA DO LIVRAMENTO,4,4,0,1250,205,94,139,4,162,52,287,33,0,0
SANTIAGO,4,4,0,346,47,2,20,1,114,24,176,96,0,0
SANTO ANGELO,4,4,0,1004,49,65,145,11,145,51,196,111,0,0
SANTO ANTONIO DA PATRULHA,6,6,0,335,22,42,74,9,91,25,57,74,0,0
SANTO ANTONIO DAS MISSOES,0,0,0,84,19,0,4,0,7,10,15,5,0,0
SANTO ANTONIO DO PALMA,0,0,0,8,0,1,0,0,3,1,1,0,0,0
SANTO ANTONIO DO PLANALTO,0,0,1,10,2,0,1,0,4,3,0,0,1,0
SANTO AUGUSTO,1,1,0,110,6,1,4,0,9,5,19,14,0,0
SANTO CRISTO,1,1,0,39,1,2,1,0,7,4,21,4,0,0
SANTO EXPEDITO DO SUL,0,0,0,11,2,1,0,0,2,0,0,0,0,0
SAO BORJA,3,4,0,625,72,51,97,1,112,15,36,28,0,0
SAO DOMINGOS DO SUL,0,0,0,13,2,0,0,0,3,0,1,0,0,0
SAO FRANCISCO DE ASSIS,0,0,0,122,29,3,7,0,21,7,29,8,0,0
SAO FRANCISCO DE PAULA,4,5,0,307,57,10,29,4,31,16,14,16,0,0
SAO GABRIEL,5,5,0,826,110,14,51,2,65,64,63,173,0,0
SAO JERONIMO,2,2,0,277,17,5,50,1,19,25,58,23,0,0
SAO JOAO DA URTIGA,0,0,0,15,2,1,0,0,1,5,0,1,0,0
SAO JOAO DO POLESINE,0,0,0,36,7,0,2,0,6,2,0,1,0,0
SAO JORGE,0,0,0,12,5,0,1,1,6,1,1,0,0,0
SAO JOSE DAS MISSOES,0,0,0,13,2,0,1,1,0,0,0,0,0,0
SAO JOSE DO HERVAL,1,2,0,21,13,0,1,0,1,1,0,0,0,0
SAO JOSE DO HORTENCIO,0,0,0,20,2,1,0,0,7,2,10,1,0,0
SAO JOSE DO INHACORA,0,0,0,4,1,0,0,0,1,1,0,0,0,0
SAO JOSE DO NORTE,5,5,0,185,18,5,40,1,11,9,20,21,0,0
SAO JOSE DO OURO,0,0,0,44,3,4,0,0,11,3,3,0,0,0
SAO JOSE DO SUL,0,0,0,19,0,1,1,1,1,3,4,0,0,0
SAO JOSE DOS AUSENTES,0,0,0,31,3,0,0,0,1,4,6,4,0,0
SAO LEOPOLDO,43,44,0,2492,14,487,1781,578,742,99,285,429,0,1
SAO LOURENCO DO SUL,2,2,0,281,20,8,30,2,64,21,117,27,0,0
SAO LUIZ GONZAGA,3,3,0,413,23,15,66,2,30,32,51,47,0,0
SAO MARCOS,1,1,1,167,6,14,22,7,48,12,53,16,1,0
SAO MARTINHO,0,0,0,19,2,2,0,0,11,2,7,3,0,0
SAO MARTINHO DA SERRA,0,0,0,40,24,0,1,0,5,2,1,0,0,0
SAO MIGUEL DAS MISSOES,1,1,0,60,26,1,1,0,4,8,0,0,0,0
SAO NICOLAU,0,0,0,78,35,3,4,0,1,13,1,1,0,0
SAO PAULO DAS MISSOES,0,0,0,5,0,2,1,0,3,2,1,0,0,0
SAO PEDRO DA SERRA,0,0,0,12,3,0,7,0,5,3,9,3,0,0
SAO PEDRO DAS MISSOES,0,0,0,10,0,0,0,0,0,0,1,0,0,0
SAO PEDRO DO BUTIA,0,0,0,13,3,1,1,0,3,0,0,0,0,0
SAO PEDRO DO SUL,2,2,0,257,100,0,13,1,24,17,19,12,0,0
SAO SEBASTIAO DO CAI,0,0,0,206,6,14,44,15,60,8,164,44,0,0
SAO SEPE,1,1,0,235,27,7,49,1,23,17,17,51,0,0
SAO VALENTIM,0,0,0,20,1,0,3,0,2,0,5,3,0,0
SAO VALENTIM DO SUL,1,1,0,7,0,2,0,3,3,1,3,0,0,0
SAO VALERIO DO SUL,0,0,0,4,0,0,0,0,1,0,0,0,0,0
SAO VENDELINO,0,0,0,12,0,0,5,0,5,1,2,1,0,0
SAO VICENTE DO SUL,2,2,0,92,31,1,6,0,3,12,15,4,0,0
SAPIRANGA,7,8,0,641,5,136,238,51,165,27,198,74,0,0
SAPUCAIA DO SUL,31,34,1,1200,13,218,1205,235,303,38,165,212,1,1
SARANDI,5,5,1,241,4,19,25,1,25,23,23,47,1,0
SEBERI,6,7,0,68,10,11,4,1,20,16,21,12,0,0
SEDE NOVA,0,0,0,6,1,1,0,0,2,1,2,0,0,0
SEGREDO,0,0,0,48,12,7,3,0,4,6,0,0,0,0
SELBACH,0,0,0,20,0,4,1,1,7,2,0,1,0,0
SENADOR SALGADO FILHO,0,0,0,7,1,1,0,1,1,0,0,0,0,0
SENTINELA DO SUL,1,1,0,41,8,6,8,2,1,4,1,2,0,0
SERAFINA CORREA,1,1,0,90,4,6,9,0,30,4,29,6,0,1
SERIO,2,3,1,22,0,0,0,0,2,0,1,0,1,0
SERTAO,0,0,0,33,4,2,4,1,7,6,5,2,0,0
SERTAO SANTANA,0,0,0,30,7,1,2,0,2,6,4,3,0,0
SETE DE SETEMBRO,0,0,0,13,3,1,2,0,1,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,0,0,18,1,0,0,0,12,2,3,3,0,0
SILVEIRA MARTINS,0,0,0,25,2,2,0,0,5,0,2,1,0,0
SINIMBU,0,0,0,51,1,6,4,0,7,4,0,0,0,0
SOBRADINHO,1,1,0,237,10,8,26,2,20,8,23,10,0,0
SOLEDADE,6,6,1,665,66,26,39,5,70,21,81,48,1,0
TABAI,1,1,0,41,7,4,20,8,3,0,1,1,0,0
TAPEJARA,2,2,0,232,2,25,13,4,40,3,41,11,0,0
TAPERA,2,2,0,79,2,3,6,0,11,4,10,37,0,0
TAPES,6,6,1,224,18,17,32,3,18,6,15,15,1,0
TAQUARA,10,10,0,506,16,68,123,69,176,23,66,53,0,1
TAQUARI,3,3,0,221,15,12,29,10,47,12,42,6,0,0
TAQUARUCU DO SUL,0,0,0,6,1,4,1,0,3,0,2,0,0,0
TAVARES,1,1,0,60,15,2,6,0,12,5,9,12,0,0
TENENTE PORTELA,1,1,1,98,16,17,11,3,22,16,11,7,1,0
TERRA DE AREIA,0,0,0,206,14,4,18,3,19,5,6,5,0,0
TEUTONIA,1,1,0,174,2,14,61,3,112,4,44,18,0,0
TIO HUGO,0,0,0,16,2,0,3,0,9,4,1,1,0,0
TIRADENTES DO SUL,1,1,0,14,3,2,2,0,3,5,4,5,0,0
TOROPI,0,0,0,10,5,1,0,0,0,2,0,0,0,0
TORRES,7,8,0,602,12,60,116,16,165,12,64,97,0,0
TRAMANDAI,20,21,0,1355,20,159,345,50,243,27,81,117,0,1
TRAVESSEIRO,0,0,0,10,0,0,1,1,2,0,0,0,0,0
TRES ARROIOS,0,0,0,13,3,3,2,0,3,1,1,2,0,0
TRES CACHOEIRAS,1,1,0,82,9,10,6,4,36,3,11,2,0,0
TRES COROAS,1,1,0,203,2,7,25,1,24,7,46,18,0,0
TRES DE MAIO,1,1,0,140,5,7,7,1,44,5,49,29,0,0
TRES FORQUILHAS,0,0,0,39,2,2,2,0,5,2,0,0,0,0
TRES PALMEIRAS,0,0,0,23,2,2,0,0,1,1,1,1,0,0
TRES PASSOS,3,3,0,174,4,7,14,1,44,12,42,47,0,0
TRINDADE DO SUL,0,0,0,31,7,2,3,0,8,5,12,3,0,0
TRIUNFO,9,12,1,209,16,11,32,23,33,13,39,51,1,0
TUCUNDUVA,2,2,0,39,0,2,2,1,3,0,5,0,0,0
TUNAS,0,0,0,12,1,1,1,0,2,1,0,1,0,0
TUPANCI DO SUL,0,0,0,13,7,0,0,0,1,2,0,1,0,0
TUPANCIRETA,4,4,1,365,33,10,28,1,13,21,21,18,1,0
TUPANDI,0,0,0,13,2,0,1,1,4,0,11,1,0,0
TUPARENDI,0,0,0,37,4,1,1,0,12,11,9,5,0,0
TURUCU,2,2,0,20,4,0,2,0,3,0,2,1,0,0
UBIRETAMA,0,0,0,3,0,0,1,0,1,1,0,1,0,0
UNIAO DA SERRA,0,0,0,3,0,1,1,0,0,0,0,0,0,0
UNISTALDA,1,1,0,14,6,0,0,0,0,1,1,0,0,0
URUGUAIANA,17,17,0,1432,123,55,606,9,175,65,171,150,0,2
VACARIA,9,9,0,928,29,48,145,5,175,64,196,81,0,0
VALE DO SOL,0,0,0,55,6,4,8,0,3,3,1,0,0,0
VALE REAL,2,2,0,30,0,2,0,1,5,1,6,3,0,0
VALE VERDE,1,3,0,13,4,2,3,0,1,3,0,0,0,0
VANINI,0,0,0,10,1,0,0,0,2,0,2,0,0,0
VENANCIO AIRES,8,8,0,605,16,59,90,30,120,26,72,74,0,0
VERA CRUZ,6,6,1,284,17,38,53,3,37,11,10,3,1,0
VERANOPOLIS,4,4,0,172,16,12,26,2,46,12,62,24,0,0
VESPASIANO CORREA,0,0,0,7,1,0,0,0,2,0,0,0,0,0
VIADUTOS,0,0,0,52,3,0,1,0,3,2,2,2,0,0
VIAMAO,71,74,2,1765,72,213,3293,782,517,116,155,251,2,1
VICENTE DUTRA,0,0,0,28,4,3,2,0,2,6,1,2,0,0
VICTOR GRAEFF,0,0,0,18,2,1,1,1,4,1,1,2,0,0
VILA FLORES,0,0,0,22,1,1,1,0,2,5,3,2,0,0
VILA LANGARO,0,0,0,3,0,0,0,0,1,1,0,0,0,0
VILA MARIA,0,0,0,12,1,4,1,0,9,1,2,2,0,0
VILA NOVA DO SUL,0,0,0,49,17,1,4,0,4,2,2,1,0,0
VISTA ALEGRE,1,1,0,12,1,0,2,0,2,2,1,0,0,0
VISTA ALEGRE DO PRATA,0,0,0,5,0,0,0,0,1,0,0,0,0,0
VISTA GAUCHA,0,0,0,12,2,0,0,0,1,3,0,0,0,0
VITORIA DAS MISSOES,1,1,0,30,8,1,1,0,5,2,0,1,0,0
WESTFALIA,0,0,0,13,0,0,2,1,5,1,0,0,0,0
XANGRI-LA,0,0,0,1046,9,26,68,5,82,8,37,40,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Prova real somatório meses,0,0,0,0,0,0,0,0,0,0,0,0,,
