Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
PASSA SETE,0,0,0,17,3,0,1,0,1,0,0,1,0,0,0
PASSO DO SOBRADO,0,0,0,19,4,0,1,0,11,1,0,0,0,0,0
PASSO FUNDO,10,10,0,639,5,116,123,12,557,55,86,108,0,0,12
PAULO BENTO,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
PAVERAMA,0,0,0,14,2,1,0,1,10,6,2,1,0,0,0
PEDRAS ALTAS,0,0,0,8,3,0,0,1,5,0,0,0,0,0,0
PEDRO OSORIO,0,0,0,18,3,0,0,0,11,2,3,0,0,0,0
PEJUCARA,1,1,0,16,1,0,2,1,11,0,0,1,0,0,1
PELOTAS,4,4,1,1190,17,80,416,11,892,35,29,92,1,0,6
PICADA CAFE,0,0,0,18,0,0,0,0,8,0,1,0,0,0,0
PINHAL,0,0,0,1,1,1,1,0,5,0,2,0,0,0,0
PINHAL DA SERRA,0,0,0,6,2,0,0,0,3,1,1,0,0,0,0
PINHAL GRANDE,0,0,0,10,2,0,1,0,4,0,0,0,0,0,0
PINHEIRINHO DO VALE,0,0,0,6,3,4,1,0,3,0,1,1,0,0,0
PINHEIRO MACHADO,0,0,0,29,6,0,5,1,21,1,0,3,0,0,0
PINTO BANDEIRA,0,0,0,7,1,0,1,0,5,0,2,1,0,0,0
PIRAPO,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
PIRATINI,0,0,0,69,6,6,6,0,17,6,3,1,0,0,0
PLANALTO,0,0,0,24,3,1,1,0,18,6,3,0,0,0,0
POCO DAS ANTAS,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
PONTAO,1,1,0,6,0,0,0,0,6,3,0,0,0,0,1
PONTE PRETA,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
PORTAO,1,1,0,91,6,8,19,5,108,2,17,10,0,0,1
PORTO ALEGRE,83,90,2,9049,16,718,5271,609,6162,226,719,932,2,1,107
PORTO LUCENA,0,0,0,6,2,0,0,0,1,0,1,1,0,0,0
PORTO MAUA,0,0,0,7,1,0,0,0,8,2,0,0,0,0,0
PORTO VERA CRUZ,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0
PORTO XAVIER,0,0,0,26,3,1,1,0,5,1,4,3,0,0,0
POUSO NOVO,0,0,0,9,2,0,0,0,3,0,0,0,0,0,0
PRESIDENTE LUCENA,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0
PROGRESSO,0,0,0,13,1,0,2,1,4,0,2,0,0,0,0
PROTASIO ALVES,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0
PUTINGA,0,0,0,6,1,0,0,0,2,2,5,0,0,0,0
QUARAI,0,0,0,83,18,2,6,0,16,7,14,15,0,0,0
QUATRO IRMAOS,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
QUEVEDOS,0,0,0,15,11,1,0,0,3,2,0,0,0,0,0
QUINZE DE NOVEMBRO,1,1,0,16,2,1,1,1,2,2,1,1,0,0,1
REDENTORA,0,0,0,14,4,1,0,0,5,4,5,2,0,0,1
RELVADO,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
RESTINGA SECA,0,0,0,48,5,1,1,0,17,1,3,4,0,0,0
RIO DOS INDIOS,1,1,0,7,0,0,0,0,1,1,0,0,0,0,1
RIO GRANDE,35,38,2,1063,37,26,325,11,507,90,79,204,2,1,42
RIO PARDO,0,0,0,100,10,5,4,1,46,4,25,19,0,0,0
RIOZINHO,0,0,0,7,0,1,0,0,4,2,0,0,0,0,0
ROCA SALES,0,0,0,25,0,0,4,0,20,1,2,0,0,0,0
RODEIO BONITO,0,0,0,8,0,0,0,0,8,2,5,1,0,0,0
ROLADOR,0,0,0,6,0,1,0,0,2,2,0,0,0,0,0
ROLANTE,1,1,0,21,6,2,3,2,77,0,3,10,0,0,1
RONDA ALTA,0,0,0,12,0,0,0,0,14,0,0,7,0,0,0
RONDINHA,0,0,0,4,1,0,0,0,6,0,0,1,0,0,0
ROQUE GONZALES,0,0,0,8,1,1,0,0,3,0,1,3,0,0,0
ROSARIO DO SUL,5,5,0,90,12,2,3,0,74,7,15,28,0,0,6
SAGRADA FAMILIA,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
SALDANHA MARINHO,0,0,0,4,0,1,1,0,1,1,0,0,0,0,0
SALTO DO JACUI,0,0,0,36,4,3,2,0,20,1,0,1,0,0,1
SALVADOR DAS MISSOES,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0
SALVADOR DO SUL,0,0,0,22,1,1,2,0,19,1,5,0,0,0,0
SANANDUVA,0,0,0,40,1,5,2,0,27,3,1,0,0,0,0
SANTA BARBARA DO SUL,0,0,0,23,1,1,1,0,10,9,3,3,0,0,0
SANTA CECILIA DO SUL,0,0,0,4,1,0,0,0,1,1,0,1,0,0,0
SANTA CLARA DO SUL,0,0,0,4,0,0,0,0,13,0,2,0,0,0,0
SANTA CRUZ DO SUL,5,5,1,452,7,24,43,5,386,22,32,54,1,0,6
SANTA MARGARIDA DO SUL,0,0,0,12,5,0,2,0,0,0,0,0,0,0,0
SANTA MARIA,25,27,0,1226,31,87,216,11,947,93,66,152,0,0,30
SANTA MARIA DO HERVAL,1,1,0,11,0,0,0,0,5,0,0,0,0,0,1
SANTA ROSA,1,1,1,361,1,15,24,0,151,7,63,98,1,0,3
SANTA TEREZA,0,0,0,10,1,1,0,0,0,0,2,1,0,0,0
SANTA VITORIA DO PALMAR,3,3,0,138,19,4,12,1,58,7,15,20,0,0,3
SANTANA DA BOA VISTA,0,0,0,20,1,0,5,1,7,1,1,0,0,0,1
