Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ITACURUBI,0,0,60,0,1,0,0,0,0,3,0,1,0,0
ITAPUCA,1,0,35,2,4,0,2,0,0,0,0,6,0,0
ITAQUI,6,0,544,15,106,0,9,0,0,30,4,33,40,28
ITATI,1,0,13,2,5,0,0,0,0,1,0,2,2,0
ITATIBA DO SUL,0,0,19,1,1,0,0,0,0,0,0,1,0,0
IVORA,0,0,23,1,0,0,0,0,0,3,0,0,0,0
IVOTI,1,0,140,25,20,0,3,0,0,29,1,1,21,1
JABOTICABA,0,0,23,7,8,0,0,0,0,4,0,3,3,0
JACUIZINHO,0,0,18,2,0,0,0,0,0,1,0,1,0,0
JACUTINGA,0,0,23,1,0,0,0,0,0,1,0,1,1,0
JAGUARAO,1,0,516,43,45,0,0,2,0,32,0,9,23,19
JAGUARI,1,0,70,0,7,0,0,0,0,1,0,9,6,3
JAQUIRANA,0,0,76,0,5,0,0,0,0,4,0,2,2,2
JARI,0,0,34,0,0,0,0,0,0,0,0,1,0,0
JOIA,0,0,71,0,2,0,0,1,0,6,0,9,0,1
JULIO DE CASTILHOS,2,0,373,17,25,0,1,0,0,27,0,7,19,6
LAGOA BONITA DO SUL,1,0,14,3,0,0,0,0,0,1,0,0,0,0
LAGOA DOS TRES CANTOS,0,0,10,1,1,0,0,0,0,0,1,0,0,1
LAGOA VERMELHA,5,0,615,27,54,0,9,0,0,38,2,31,33,17
LAGOAO,0,0,29,3,0,0,0,0,0,2,0,7,1,0
LAJEADO,21,0,1249,173,353,1,80,1,0,155,0,66,71,62
LAJEADO DO BUGRE,0,1,9,1,1,0,0,0,0,1,0,8,1,0
LAVRAS DO SUL,2,0,48,1,1,0,0,0,0,2,0,1,3,1
LIBERATO SALZANO,1,0,34,2,1,0,1,0,0,0,0,4,0,0
LINDOLFO COLLOR,0,0,21,1,4,0,2,0,0,1,0,1,3,2
LINHA NOVA,0,0,6,0,0,0,0,0,0,0,0,0,0,0
MACAMBARA,0,0,51,1,1,0,0,0,0,0,0,4,0,0
MACHADINHO,0,0,53,2,1,0,0,0,0,5,1,2,1,0
MAMPITUBA,1,0,19,0,3,0,0,0,0,0,0,0,0,0
MANOEL VIANA,0,0,60,3,1,0,0,0,0,3,1,5,0,3
MAQUINE,2,0,74,4,16,0,4,0,0,4,0,4,2,2
MARATA,0,0,9,0,2,0,0,0,0,1,0,1,0,1
MARAU,4,0,531,50,58,0,24,0,0,79,0,34,31,10
MARCELINO RAMOS,0,0,48,1,1,0,0,0,0,5,0,0,0,1
MARIANA PIMENTEL,1,0,47,0,5,0,2,0,0,1,0,3,0,0
MARIANO MORO,0,0,25,0,0,0,0,0,0,0,0,5,1,2
MARQUES DE SOUZA,1,0,28,1,2,0,0,0,0,3,0,2,1,0
MATA,1,0,75,3,5,0,2,0,0,6,0,3,1,2
MATO CASTELHANO,1,0,47,1,9,0,3,0,0,2,0,5,0,0
MATO LEITAO,0,0,26,4,9,0,1,0,0,0,0,2,0,0
MATO QUEIMADO,0,0,7,0,0,0,0,0,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,31,3,2,0,0,0,0,7,0,0,1,1
MINAS DO LEAO,1,0,162,4,21,0,1,0,0,1,0,3,11,1
MIRAGUAI,0,0,85,22,8,0,0,0,0,1,0,5,1,0
MONTAURI,0,0,4,0,3,0,0,0,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,1,0,32,1,0,0,0,0,0,1,0,3,1,0
MONTE BELO DO SUL,0,0,31,1,7,0,2,0,0,3,0,4,0,0
MONTENEGRO,6,1,865,60,194,1,24,1,0,62,0,38,144,102
MORMACO,0,0,29,3,1,0,2,0,0,2,0,1,1,0
MORRINHOS DO SUL,0,0,14,0,3,0,0,0,0,2,0,0,0,1
MORRO REDONDO,2,0,63,2,3,0,0,0,0,12,0,3,2,0
MORRO REUTER,0,0,41,3,6,0,2,0,0,7,0,1,5,0
MOSTARDAS,5,0,246,6,18,0,2,1,0,20,0,10,15,17
MUCUM,1,0,88,3,8,0,2,0,0,5,1,6,6,1
MUITOS CAPOES,0,0,61,1,4,0,2,0,0,2,0,0,1,0
MULITERNO,0,0,28,1,2,0,0,0,0,1,0,8,0,0
NAO-ME-TOQUE,2,0,240,22,23,0,2,0,0,23,0,14,5,8
NICOLAU VERGUEIRO,0,0,10,0,1,0,9,0,0,1,0,4,0,0
NONOAI,5,0,155,15,13,0,3,0,0,12,0,16,10,2
NOVA ALVORADA,0,0,12,0,5,0,2,1,0,5,0,6,0,1
