Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
PASSA SETE,3,3,0,42,15,1,1,0,9,3,0,1,0,0
PASSO DO SOBRADO,0,0,0,59,18,1,8,0,27,1,1,0,0,0
PASSO FUNDO,33,33,0,2093,21,276,490,61,1785,150,269,320,0,0
PAULO BENTO,0,0,0,19,3,1,0,0,1,2,2,0,0,0
PAVERAMA,1,1,0,37,5,3,1,0,30,5,8,5,0,0
PEDRAS ALTAS,1,1,0,41,18,0,0,1,4,0,0,0,0,0
PEDRO OSORIO,0,0,0,59,9,0,4,1,36,6,9,4,0,0
PEJUCARA,0,0,0,28,11,1,1,1,10,1,1,4,0,0
PELOTAS,21,21,4,2720,36,196,1230,66,2925,105,127,397,4,1
PICADA CAFE,0,0,0,55,1,0,4,2,32,0,4,0,0,0
PINHAL,0,0,0,24,5,0,0,0,11,0,1,1,0,0
PINHAL DA SERRA,1,1,0,16,4,2,0,0,18,3,8,2,0,0
PINHAL GRANDE,1,1,0,16,8,0,0,0,15,2,0,1,0,0
PINHEIRINHO DO VALE,0,0,0,10,1,0,2,0,4,1,2,1,0,0
PINHEIRO MACHADO,0,0,0,134,42,1,13,1,59,9,4,6,0,0
PINTO BANDEIRA,0,0,0,10,3,0,1,0,10,0,1,0,0,0
PIRAPO,0,0,0,29,14,0,0,0,5,10,0,0,0,0
PIRATINI,1,2,0,182,40,8,12,1,55,13,3,4,0,0
PLANALTO,5,5,0,39,3,6,5,0,19,12,17,4,0,0
POCO DAS ANTAS,0,0,0,12,0,0,0,0,19,0,0,0,0,0
PONTAO,0,0,0,29,3,0,0,1,13,8,6,3,0,0
PONTE PRETA,0,0,0,1,1,1,0,0,3,1,0,0,0,0
PORTAO,6,7,0,341,17,25,70,17,287,12,63,34,0,1
PORTO ALEGRE,226,248,15,22652,39,2081,17366,1909,19655,656,2176,2574,15,1
PORTO LUCENA,3,3,0,26,4,3,0,0,5,8,2,1,0,0
PORTO MAUA,0,0,0,35,5,0,1,0,5,2,2,3,0,0
PORTO VERA CRUZ,0,0,0,17,3,0,0,0,5,2,0,0,0,0
PORTO XAVIER,2,2,0,50,10,2,4,0,7,7,28,12,0,0
POUSO NOVO,1,1,0,21,2,1,3,0,11,1,1,0,0,0
PRESIDENTE LUCENA,0,0,0,19,0,0,1,1,12,0,3,0,0,0
