Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
LAGOA DOS TRES CANTOS,0,6,1,2,0,0,0,0,2,0
LAGOA VERMELHA,0,498,13,39,0,7,77,27,48,26
LAGOAO,1,41,2,0,0,0,5,4,0,0
LAJEADO,16,1078,157,188,0,44,259,54,111,59
LAJEADO DO BUGRE,1,12,0,2,0,0,1,5,1,0
LAVRAS DO SUL,1,66,0,2,1,0,9,3,4,3
LIBERATO SALZANO,1,31,0,0,0,0,3,4,1,1
LINDOLFO COLLOR,0,24,0,1,0,2,3,1,4,1
LINHA NOVA,0,4,0,0,0,0,1,0,1,0
MACAMBARA,0,34,0,0,0,0,2,3,0,0
MACHADINHO,0,56,1,2,0,0,8,1,0,0
MAMPITUBA,0,7,0,1,0,0,3,2,0,4
MANOEL VIANA,1,58,2,1,0,0,12,8,3,3
MAQUINE,0,72,7,6,0,1,3,1,1,1
MARATA,0,4,0,1,0,0,0,0,0,0
MARAU,4,394,38,50,2,9,143,24,51,14
MARCELINO RAMOS,0,45,0,1,0,0,3,3,3,0
MARIANA PIMENTEL,0,49,0,7,0,2,7,1,0,0
MARIANO MORO,0,6,0,0,0,0,1,0,0,0
MARQUES DE SOUZA,0,39,0,0,0,1,2,3,0,0
MATA,1,35,1,5,0,0,10,3,1,0
MATO CASTELHANO,1,38,0,4,0,1,5,1,1,0
MATO LEITAO,0,28,2,5,0,2,1,2,1,0
MATO QUEIMADO,0,2,0,0,0,0,2,1,0,0
MAXIMILIANO DE ALMEIDA,0,15,1,1,0,0,7,5,0,1
MINAS DO LEAO,2,84,0,6,0,2,4,4,6,4
MIRAGUAI,0,55,7,1,0,2,2,4,1,1
MONTAURI,0,6,0,0,0,0,1,0,0,0
MONTE ALEGRE DOS CAMPOS,1,30,1,0,0,0,4,4,0,0
MONTE BELO DO SUL,0,14,1,3,0,0,2,1,0,0
MONTENEGRO,2,714,50,104,0,15,139,32,314,102
MORMACO,0,16,2,0,0,0,1,1,0,0
MORRINHOS DO SUL,1,9,0,0,0,0,0,0,0,0
MORRO REDONDO,0,41,2,1,0,1,3,2,1,0
MORRO REUTER,0,21,4,6,0,0,5,3,6,0
MOSTARDAS,2,171,11,9,0,1,19,12,11,13
MUCUM,1,52,2,5,0,0,6,2,3,0
MUITOS CAPOES,1,43,3,2,0,1,3,2,2,0
MULITERNO,0,14,0,0,1,0,1,2,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,1,130,21,25,0,2,41,8,9,12
NICOLAU VERGUEIRO,0,14,1,1,0,2,4,1,1,0
NONOAI,2,108,6,10,1,6,8,9,14,1
NOVA ALVORADA,0,21,1,6,0,0,10,4,3,0
NOVA ARACA,0,19,0,3,0,0,5,2,0,0
NOVA BASSANO,1,66,2,4,0,1,14,4,7,0
NOVA BOA VISTA,0,9,0,0,0,0,1,0,0,0
NOVA BRESCIA,0,15,0,1,0,0,4,0,1,2
NOVA CANDELARIA,0,11,1,1,0,0,2,1,0,0
NOVA ESPERANCA DO SUL,0,15,0,0,0,0,1,4,4,2
NOVA HARTZ,0,106,6,23,0,11,41,3,24,8
NOVA PADUA,0,12,0,2,0,0,1,0,0,0
NOVA PALMA,2,59,2,1,1,0,14,5,1,1
NOVA PETROPOLIS,0,130,5,8,0,1,59,6,22,6
NOVA PRATA,2,161,22,33,0,2,56,10,34,27
NOVA RAMADA,0,15,1,0,0,0,0,3,0,0
NOVA ROMA DO SUL,0,17,0,1,0,0,7,1,5,0
NOVA SANTA RITA,5,220,32,47,0,11,55,11,31,7
NOVO BARREIRO,0,14,3,6,0,1,2,0,0,0
NOVO CABRAIS,0,24,1,3,0,1,4,1,2,0
NOVO HAMBURGO,42,2853,815,1728,2,584,708,109,311,186
NOVO MACHADO,0,18,1,2,0,0,2,2,0,0
NOVO TIRADENTES,0,5,0,0,0,0,1,0,0,1
NOVO XINGU,0,4,0,1,0,0,0,1,0,0
OSORIO,5,623,44,115,1,9,110,20,101,95
PAIM FILHO,1,15,1,1,0,0,5,6,3,1
PALMARES DO SUL,2,173,2,12,0,4,19,3,10,3
PALMEIRA DAS MISSOES,3,270,22,27,1,0,49,27,44,23
PALMITINHO,0,33,7,2,0,0,1,6,2,0
PANAMBI,3,308,15,22,0,5,88,19,14,18
PANTANO GRANDE,1,99,1,13,0,0,11,6,18,1
PARAI,0,40,4,0,0,0,8,2,0,1
PARAISO DO SUL,0,41,2,0,0,0,2,7,2,1
PARECI NOVO,0,28,1,6,0,1,4,0,2,1
PAROBE,8,350,58,135,0,33,95,22,28,31
PASSA SETE,0,62,0,2,0,1,0,2,0,1
PASSO DO SOBRADO,0,71,5,8,0,3,6,4,1,0
PASSO FUNDO,26,1897,335,842,3,156,620,147,179,193
PAULO BENTO,1,11,0,0,0,0,2,3,2,0
PAVERAMA,0,43,5,5,0,3,8,4,2,1
PEDRAS ALTAS,0,57,0,0,0,0,2,2,0,1
PEDRO OSORIO,1,106,5,22,0,0,9,2,4,1
PEJUCARA,0,29,2,5,0,2,4,3,0,0
PELOTAS,40,3188,382,2123,3,149,791,150,185,187
PICADA CAFE,0,17,0,6,0,1,6,1,5,0
PINHAL,0,15,2,0,0,0,1,1,0,1
PINHAL DA SERRA,0,24,2,0,0,0,1,1,1,2
PINHAL GRANDE,0,25,0,5,0,0,6,0,0,0
PINHEIRINHO DO VALE,0,16,1,0,0,0,1,1,1,0
PINHEIRO MACHADO,1,166,1,9,0,0,14,3,7,10
PINTO BANDEIRA,0,8,0,0,0,0,0,0,0,0
PIRAPO,0,23,0,0,0,0,0,4,0,0
PIRATINI,2,185,14,13,0,1,14,13,0,7
PLANALTO,1,93,3,6,0,1,6,5,6,1
POCO DAS ANTAS,0,3,0,1,0,0,2,0,0,0
PONTAO,0,31,0,2,0,1,2,4,2,1
PONTE PRETA,0,6,0,0,0,0,0,1,0,0
PORTAO,4,318,53,100,1,27,76,10,31,21
PORTO ALEGRE,341,24590,2752,20899,14,5228,6822,731,978,2187
PORTO LUCENA,1,25,1,0,0,0,1,3,0,0
PORTO MAUA,0,25,0,1,0,0,3,1,0,0
PORTO VERA CRUZ,0,8,2,0,0,0,0,0,0,1
PORTO XAVIER,1,68,0,10,0,0,7,8,11,2
POUSO NOVO,0,23,0,0,0,0,1,2,0,0
PRESIDENTE LUCENA,0,22,0,2,0,0,1,1,1,0
PROGRESSO,2,51,0,4,0,0,7,5,2,1
PROTASIO ALVES,0,5,0,0,0,0,1,1,0,0
PUTINGA,0,25,0,2,0,0,6,4,2,0
QUARAI,2,296,15,21,0,0,35,12,9,12
QUATRO IRMAOS,0,11,0,0,0,0,1,3,0,0
QUEVEDOS,0,28,1,0,0,0,1,4,0,0
QUINZE DE NOVEMBRO,0,29,0,0,0,0,1,2,0,1
REDENTORA,2,50,13,5,0,2,4,13,3,1
RELVADO,0,12,0,0,0,0,0,0,0,0
RESTINGA SECA,2,146,5,15,0,1,15,8,12,4
RIO DOS INDIOS,2,17,0,2,0,0,1,2,0,0
RIO GRANDE,34,2817,184,1565,3,47,450,96,143,222
RIO PARDO,6,437,16,40,0,2,54,17,48,15
RIOZINHO,0,27,0,6,0,1,6,6,0,1
ROCA SALES,1,104,3,9,0,0,22,3,5,3
RODEIO BONITO,0,32,3,0,0,0,7,1,3,0
ROLADOR,1,14,0,1,0,0,1,3,1,0
ROLANTE,3,110,6,15,1,4,38,10,30,4
RONDA ALTA,0,59,1,7,0,4,14,0,7,5
RONDINHA,0,20,1,1,0,0,4,1,0,0
ROQUE GONZALES,1,38,1,1,0,1,5,9,6,3
ROSARIO DO SUL,2,502,15,38,0,2,49,21,35,30
SAGRADA FAMILIA,1,13,0,1,0,1,1,1,0,0
SALDANHA MARINHO,0,13,2,1,0,1,4,0,0,0
SALTO DO JACUI,3,156,2,10,0,2,89,10,8,6
SALVADOR DAS MISSOES,0,4,1,1,0,0,4,0,0,0
SALVADOR DO SUL,0,47,2,5,0,2,8,3,3,0
SANANDUVA,0,85,7,9,0,2,16,14,6,2
SANTA BARBARA DO SUL,0,60,3,6,0,2,23,7,3,2
SANTA CECILIA DO SUL,0,11,1,0,0,1,2,1,1,0
SANTA CLARA DO SUL,0,31,0,2,0,1,7,0,3,1
SANTA CRUZ DO SUL,23,1525,316,318,1,27,335,45,64,110
SANTA MARGARIDA DO SUL,0,31,0,0,0,0,0,6,0,0
SANTA MARIA,42,3518,222,1134,4,25,966,148,355,256
SANTA MARIA DO HERVAL,0,22,1,4,0,0,4,1,0,0
SANTA ROSA,4,592,30,49,0,3,122,47,145,92
SANTA TEREZA,0,11,0,1,0,0,1,1,1,0
SANTA TEREzA,0,1,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,4,541,22,63,0,2,53,10,18,26
SANTANA DA BOA VISTA,2,53,2,9,0,1,8,3,3,0
SANTANA DO LIVRAMENTO,7,930,65,92,0,3,136,42,118,24
SANTIAGO,4,493,16,47,0,0,123,31,112,107
SANTO ANGELO,6,1081,49,140,0,8,164,43,128,52
SANTO ANTONIO DA PATRULHA,5,401,39,69,1,12,67,29,43,35
SANTO ANTONIO DAS MISSOES,1,85,2,6,0,0,6,16,13,7
SANTO ANTONIO DO PALMA,0,23,0,4,0,1,3,1,2,0
SANTO ANTONIO DO PLANALTO,0,10,2,1,0,2,1,3,0,0
SANTO AUGUSTO,1,120,6,10,0,0,12,8,12,5
SANTO CRISTO,0,52,5,1,0,0,13,1,2,3
SANTO EXPEDITO DO SUL,0,10,0,0,0,0,0,3,1,0
SAO BORJA,7,629,41,119,0,4,105,27,58,88
SAO DOMINGOS DO SUL,0,17,1,2,0,1,3,0,0,1
SAO FRANCISCO DE ASSIS,1,179,4,5,0,0,24,20,12,6
SAO FRANCISCO DE PAULA,1,290,8,35,1,2,32,19,9,15
SAO GABRIEL,2,665,23,73,0,2,95,43,62,101
SAO JERONIMO,2,279,5,26,1,2,31,19,36,19
SAO JOAO DA URTIGA,1,8,0,1,0,0,4,4,0,0
SAO JOAO DO POLESINE,0,28,1,3,0,0,7,3,0,0
SAO JORGE,0,7,0,0,0,0,4,3,0,0
SAO JOSE DAS MISSOES,0,6,0,0,0,1,0,0,0,1
SAO JOSE DO HERVAL,1,23,0,1,0,0,2,1,2,0
SAO JOSE DO HORTENCIO,0,9,0,2,0,0,10,0,2,0
SAO JOSE DO INHACORA,1,6,0,0,0,0,2,0,0,0
SAO JOSE DO NORTE,3,271,7,40,0,1,12,7,29,17
SAO JOSE DO OURO,0,39,1,3,0,0,11,10,5,1
SAO JOSE DO SUL,0,11,1,0,0,0,1,0,0,1
SAO JOSE DOS AUSENTES,1,19,2,0,0,0,2,3,2,1
SAO LEOPOLDO,54,2650,522,1581,1,459,572,124,265,291
SAO LOURENCO DO SUL,1,296,12,28,1,3,64,13,76,22
SAO LUIZ GONZAGA,5,604,16,48,1,0,45,43,41,38
SAO MARCOS,3,166,10,28,0,1,40,11,30,17
