Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
LAJEADO,7,882,97,176,1,51,220,49,75,80
LAJEADO DO BUGRE,0,11,0,0,0,0,4,2,2,0
LAVRAS DO SUL,0,43,0,0,0,0,4,0,2,1
LIBERATO SALZANO,0,21,1,1,0,0,3,6,3,0
LINDOLFO COLLOR,0,11,4,0,0,0,2,0,0,1
LINHA NOVA,0,2,0,0,0,0,3,0,0,0
MACAMBARA,0,37,0,0,0,0,4,0,0,1
MACHADINHO,0,38,1,6,0,0,4,5,3,0
MAMPITUBA,0,12,0,1,0,0,3,0,2,0
MANOEL VIANA,0,41,1,0,0,0,12,2,3,2
MAQUINE,0,58,3,5,0,3,9,1,2,2
MARATA,0,6,1,0,0,0,1,1,1,0
MARAU,0,343,39,33,0,14,117,19,34,9
MARCELINO RAMOS,0,22,1,1,0,0,4,5,2,0
MARIANA PIMENTEL,0,35,0,4,0,0,3,1,1,0
MARIANO MORO,0,9,0,0,0,0,0,1,0,1
MARQUES DE SOUZA,0,22,0,4,0,0,0,2,3,0
MATA,0,52,2,1,0,0,4,4,0,1
MATO CASTELHANO,0,23,0,0,0,1,0,3,1,0
MATO LEITAO,0,17,0,4,0,0,2,3,1,1
MATO QUEIMADO,0,0,0,0,0,0,1,0,1,0
MAXIMILIANO DE ALMEIDA,0,27,1,1,0,0,1,1,2,0
MINAS DO LEAO,0,69,1,7,0,1,4,3,9,2
MIRAGUAI,1,59,9,5,0,1,1,1,1,0
MONTAURI,0,4,0,1,0,0,1,0,1,0
MONTE ALEGRE DOS CAMPOS,0,21,2,0,0,0,0,3,0,0
MONTE BELO DO SUL,0,16,0,0,0,0,4,1,0,0
MONTENEGRO,6,640,42,116,1,12,104,19,223,105
MORMACO,0,17,2,2,0,0,2,1,0,0
MORRINHOS DO SUL,0,9,2,1,0,0,1,0,1,0
MORRO REDONDO,1,35,4,6,0,3,7,1,2,0
MORRO REUTER,0,37,2,3,0,2,7,1,2,0
MOSTARDAS,4,140,1,10,0,0,16,8,5,9
MUCUM,1,44,1,2,0,1,14,1,10,1
MUITOS CAPOES,0,28,0,1,0,0,2,2,0,1
MULITERNO,0,8,3,0,0,0,1,1,1,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
