Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
HUMAITA,0,11,3,1,0,0,5,0,2,0
IBARAMA,0,39,5,1,0,0,5,3,1,1
IBIACA,0,29,1,1,0,0,5,0,0,0
IBIRAIARAS,2,59,1,0,0,0,6,4,2,1
IBIRAPUITA,0,27,1,1,0,0,3,3,1,1
IBIRUBA,2,177,13,10,0,0,61,7,6,15
IGREJINHA,2,269,28,49,0,7,70,13,60,34
IJUI,11,803,55,108,0,5,189,51,82,64
ILOPOLIS,0,15,0,4,0,0,10,3,8,0
IMBE,4,549,24,88,0,12,48,12,16,15
IMIGRANTE,0,16,1,0,0,0,5,0,0,0
INDEPENDENCIA,0,73,1,1,0,0,5,7,7,1
INHACORA,0,14,0,0,0,0,0,3,0,1
IPE,0,50,3,4,0,2,5,4,3,1
IPIRANGA DO SUL,0,9,2,0,0,0,1,2,0,1
IRAI,1,79,3,2,0,0,7,6,7,9
ITAARA,0,56,1,3,0,1,13,4,0,0
ITACURUBI,1,46,0,0,0,0,1,3,2,0
ITAPUCA,1,28,0,1,0,0,0,4,0,0
ITAQUI,5,366,15,48,0,0,43,19,28,72
ITATI,0,7,3,3,0,0,1,3,0,1
ITATIBA DO SUL,1,12,0,0,0,0,2,2,0,1
IVORA,0,13,0,0,0,0,1,1,0,0
IVOTI,1,112,17,25,0,6,31,3,38,5
JABOTICABA,0,17,3,0,0,0,5,2,2,1
JACUIZINHO,0,16,1,0,0,0,1,0,0,0
JACUTINGA,0,10,0,1,0,0,3,2,1,0
JAGUARAO,1,324,21,37,0,1,37,12,11,7
JAGUARI,0,68,0,4,0,0,17,2,2,2
JAQUIRANA,0,51,2,1,0,0,3,5,0,2
JARI,0,19,0,0,0,0,3,2,0,0
JOIA,1,37,1,1,0,0,6,5,0,0
JULIO DE CASTILHOS,0,214,9,18,0,3,40,9,17,7
