Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
IMIGRANTE,0,7,0,0,0,0,3,1,0,0
INDEPENDENCIA,0,57,6,2,0,0,4,1,6,2
INHACORA,0,9,0,1,0,0,0,2,2,0
IPE,0,55,1,1,0,0,7,1,3,1
IPIRANGA DO SUL,0,7,0,1,0,0,1,0,0,0
IRAI,1,65,2,5,0,0,12,7,10,16
ITAARA,0,66,1,1,0,0,13,3,0,3
ITACURUBI,1,34,0,0,0,0,4,4,1,0
ITAPUCA,1,24,0,1,0,0,0,11,0,0
ITAQUI,2,334,13,49,0,4,67,28,32,52
ITATI,0,23,0,2,0,0,3,2,0,0
ITATIBA DO SUL,1,28,1,0,0,0,2,2,0,1
IVORA,0,12,0,0,0,0,2,2,0,0
IVOTI,0,116,17,12,0,7,38,1,24,0
JABOTICABA,0,14,1,1,0,0,1,2,1,0
JACUIZINHO,0,10,2,0,0,0,1,1,0,0
JACUTINGA,0,17,1,0,0,0,2,2,1,0
JAGUARAO,2,360,28,43,0,0,35,8,23,9
JAGUARI,1,74,3,4,0,0,12,1,5,7
JAQUIRANA,1,49,1,1,0,0,2,3,3,1
JARI,0,21,2,1,0,0,2,3,0,0
JOIA,0,41,4,2,0,0,5,5,2,1
JULIO DE CASTILHOS,1,253,5,25,0,0,33,11,19,5
LAGOA BONITA DO SUL,0,22,0,0,0,0,0,0,0,0
LAGOA DOS TRES CANTOS,0,6,1,1,0,0,1,2,1,0
LAGOA VERMELHA,3,398,2,42,0,6,70,30,39,35
LAGOAO,0,23,0,0,0,0,5,6,0,0
LAJEADO,19,924,158,234,0,40,221,62,150,83
LAJEADO DO BUGRE,2,3,0,1,0,0,0,5,1,0
LAVRAS DO SUL,0,48,1,1,0,0,9,4,2,1
LIBERATO SALZANO,1,24,1,0,0,1,6,2,1,0
LINDOLFO COLLOR,1,18,2,6,0,1,3,1,9,2
LINHA NOVA,0,2,1,0,0,0,5,0,2,0
MACAMBARA,0,36,0,0,0,1,4,0,2,0
MACHADINHO,0,53,9,0,0,0,7,4,0,0
MAMPITUBA,0,12,1,1,0,0,2,1,0,1
MANOEL VIANA,0,47,2,1,0,0,7,7,7,0
MAQUINE,0,69,3,9,1,3,8,4,2,2
MARATA,0,10,0,0,0,0,1,0,0,1
MARAU,1,369,36,47,0,12,168,17,43,14
MARCELINO RAMOS,0,25,3,1,0,0,4,2,3,1
MARIANA PIMENTEL,0,56,0,4,0,1,4,2,1,1
MARIANO MORO,0,11,0,0,0,0,1,1,1,0
MARQUES DE SOUZA,0,26,1,3,0,0,3,0,3,1
MATA,0,60,0,0,0,0,5,3,0,0
MATO CASTELHANO,0,45,2,8,0,4,4,2,1,0
MATO LEITAO,0,23,2,3,0,0,1,2,1,0
MATO QUEIMADO,0,3,0,0,0,0,2,0,0,0
MAXIMILIANO DE ALMEIDA,0,25,1,0,0,0,3,1,4,0
MINAS DO LEAO,3,92,2,9,0,0,5,3,4,3
MIRAGUAI,0,62,8,3,0,0,1,0,1,1
MONTAURI,0,2,0,0,0,0,0,3,1,0
MONTE ALEGRE DOS CAMPOS,0,19,1,1,0,0,2,2,0,0
MONTE BELO DO SUL,0,20,5,1,0,1,4,0,0,0
MONTENEGRO,8,682,47,104,0,14,130,23,266,82
MORMACO,0,23,1,2,0,1,4,1,0,0
MORRINHOS DO SUL,0,3,1,1,0,0,2,1,0,0
MORRO REDONDO,0,33,2,1,0,0,3,2,3,0
MORRO REUTER,1,25,2,5,0,4,5,1,1,0
MOSTARDAS,2,189,5,9,1,3,26,13,11,5
MUCUM,0,55,6,4,0,0,9,4,5,1
MUITOS CAPOES,0,34,1,1,0,0,4,5,1,0
MULITERNO,1,20,1,1,0,0,3,2,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,1,141,16,15,0,2,42,17,14,17
NICOLAU VERGUEIRO,0,19,0,1,0,1,0,2,1,0
