Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
EREBANGO,1,28,0,2,0,1,2,2,2,2
ERECHIM,15,999,143,162,1,11,253,131,141,105
ERNESTINA,0,28,4,7,0,1,8,3,5,2
ERVAL GRANDE,2,20,1,1,0,0,4,2,1,0
ERVAL SECO,1,34,2,0,0,0,9,6,2,0
ESMERALDA,0,48,0,6,0,0,4,4,1,3
ESPERANCA DO SUL,0,12,0,0,0,0,0,2,0,0
ESPUMOSO,3,99,13,12,0,1,13,3,15,9
ESTACAO,1,22,3,2,0,2,6,3,4,1
ESTANCIA VELHA,2,352,53,137,0,52,60,7,59,16
ESTEIO,15,1086,120,515,0,68,220,20,128,48
ESTRELA,8,283,26,77,0,13,63,13,60,25
ESTRELA VELHA,0,9,0,0,0,0,2,0,0,0
EUGENIO DE CASTRO,0,18,2,1,0,0,1,1,0,0
FAGUNDES VARELA,0,4,1,0,0,0,1,0,0,0
FARROUPILHA,11,695,90,148,0,58,179,40,62,43
FAXINAL DO SOTURNO,0,51,1,3,0,1,4,2,0,2
FAXINALZINHO,0,12,3,0,0,1,0,0,0,0
FAZENDA VILA NOVA,0,61,3,9,0,5,2,5,14,3
FELIZ,1,67,4,10,0,2,26,3,17,6
FLORES DA CUNHA,3,216,30,51,0,18,68,10,10,5
FLORIANO PEIXOTO,0,6,1,0,0,0,1,0,0,0
FONTOURA XAVIER,3,87,13,11,1,1,6,10,4,0
FORMIGUEIRO,2,59,1,0,0,0,9,10,0,2
FORQUETINHA,0,5,1,0,0,0,1,1,1,0
FORTALEZA DOS VALOS,1,51,1,2,0,0,14,1,1,1
FREDERICO WESTPHALEN,3,272,12,19,1,0,69,28,88,18
GARIBALDI,7,213,29,37,0,14,42,6,16,14
GARRUCHOS,0,50,1,1,0,0,1,5,0,0
GAURAMA,0,43,0,3,0,1,3,5,5,0
GENERAL CAMARA,0,68,1,5,0,0,15,1,0,4
GENTIL,0,13,0,2,0,0,1,0,0,0
GETULIO VARGAS,5,111,12,20,0,2,28,9,21,33
GIRUA,2,161,10,8,0,0,23,7,2,3
GLORINHA,2,73,2,8,0,4,16,3,3,4
GRAMADO,3,522,21,19,0,2,166,12,61,35
GRAMADO DOS LOUREIROS,0,7,0,1,0,0,1,1,0,0
GRAMADO XAVIER,0,18,2,0,0,0,4,0,0,1
GRAVATAI,57,2202,400,1375,1,327,720,130,264,152
GUABIJU,0,9,1,0,0,0,1,0,0,0
GUAIBA,26,749,66,388,0,24,138,48,209,60
GUAPORE,3,153,17,16,1,1,62,7,36,15
GUARANI DAS MISSOES,1,94,0,7,0,1,5,4,0,0
HARMONIA,0,26,0,2,0,1,1,1,5,1
HERVAL,1,117,0,1,0,0,15,4,0,0
HERVEIRAS,0,12,0,2,0,1,1,0,0,1
HORIZONTINA,2,128,6,5,0,0,32,5,21,2
HULHA NEGRA,0,42,0,1,0,0,3,0,0,0
HUMAITA,0,21,2,3,0,1,7,1,1,0
IBARAMA,0,29,1,4,0,0,1,5,0,0
IBIACA,0,29,2,3,0,1,7,1,0,3
IBIRAIARAS,1,51,6,4,0,1,19,2,0,0
IBIRAPUITA,1,27,0,3,0,0,4,8,3,2
IBIRUBA,2,159,8,17,0,2,45,2,8,12
IGREJINHA,2,295,28,57,1,10,60,21,31,24
IJUI,11,789,66,93,1,8,184,50,74,60
ILOPOLIS,0,24,2,1,0,2,5,5,3,0
IMBE,11,820,49,132,0,12,129,17,61,27
IMIGRANTE,0,11,0,6,0,0,2,0,0,0
INDEPENDENCIA,0,58,2,4,0,0,3,4,1,2
INHACORA,0,11,0,1,0,0,5,1,0,0
IPE,1,60,1,5,0,1,8,4,2,2
IPIRANGA DO SUL,0,14,0,0,0,0,2,0,0,0
IRAI,1,46,2,3,0,1,11,3,5,4
ITAARA,0,63,4,3,0,1,5,5,5,1
ITACURUBI,1,35,0,2,0,0,0,1,2,0
ITAPUCA,1,20,0,0,0,0,0,3,1,0
ITAQUI,2,306,7,54,1,0,44,23,29,70
ITATI,0,6,0,4,0,0,2,2,3,1
ITATIBA DO SUL,2,16,3,0,0,0,0,2,0,0
IVORA,0,13,0,2,0,0,2,1,1,0
IVOTI,0,98,15,21,0,5,51,0,31,5
JABOTICABA,0,16,4,3,0,0,8,1,1,0
JACUIZINHO,1,9,0,0,0,0,0,0,0,0
JACUTINGA,0,25,1,0,0,1,3,0,3,1
