Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,1,171,14,19,1,4,39,15,11,15
NICOLAU VERGUEIRO,1,16,0,0,0,1,4,4,1,0
NONOAI,3,100,8,14,0,1,10,19,8,2
NOVA ALVORADA,1,15,0,4,0,0,9,0,0,0
NOVA ARACA,0,14,2,4,0,2,4,2,2,2
NOVA BASSANO,0,52,5,9,0,0,17,5,3,4
NOVA BOA VISTA,0,7,2,2,0,0,1,1,0,0
NOVA BRESCIA,0,15,0,1,0,0,3,0,1,1
NOVA CANDELARIA,0,11,0,0,0,0,0,0,1,1
NOVA ESPERANCA DO SUL,0,24,0,1,0,0,10,3,0,1
NOVA HARTZ,1,116,18,20,0,4,49,9,29,9
NOVA PADUA,0,11,1,1,0,2,3,0,0,0
NOVA PALMA,0,75,1,1,0,0,10,1,0,0
NOVA PETROPOLIS,1,125,6,3,0,0,43,0,23,1
NOVA PRATA,2,159,14,22,0,3,43,9,25,18
NOVA RAMADA,0,17,1,1,0,0,1,2,0,0
NOVA ROMA DO SUL,0,15,0,1,0,0,6,0,1,0
NOVA SANTA RITA,5,248,31,38,0,15,46,11,31,14
NOVO BARREIRO,0,16,0,2,0,0,0,1,0,0
NOVO CABRAIS,0,20,2,1,0,0,6,3,0,1
NOVO HAMBURGO,37,2856,728,1734,2,524,787,121,323,256
NOVO MACHADO,0,10,1,0,0,0,4,0,0,0
NOVO TIRADENTES,0,2,1,0,0,0,1,1,0,0
NOVO XINGU,0,3,0,0,0,0,1,0,0,0
OSORIO,10,668,46,105,0,17,127,25,83,91
PAIM FILHO,1,26,1,1,0,0,4,3,1,0
PALMARES DO SUL,5,208,2,19,0,1,14,5,11,9
PALMEIRA DAS MISSOES,2,311,20,43,0,4,57,19,24,17
PALMITINHO,0,32,0,2,0,0,9,1,5,0
PANAMBI,3,301,17,24,1,3,84,15,13,13
PANTANO GRANDE,1,96,3,11,0,1,8,2,22,4
PARAI,1,32,3,0,0,1,17,1,6,1
PARAISO DO SUL,0,53,2,0,0,0,2,4,1,0
PARECI NOVO,0,16,2,3,0,1,10,0,0,2
PAROBE,4,325,64,121,0,33,75,29,44,33
PASSA SETE,1,50,0,1,0,0,4,0,0,1
PASSO DO SOBRADO,0,68,3,6,0,3,9,6,1,1
PASSO FUNDO,24,1946,383,818,2,130,502,150,209,193
PAULO BENTO,0,11,1,0,0,0,1,3,1,0
PAVERAMA,0,43,3,6,0,2,3,0,3,4
PEDRAS ALTAS,0,42,0,0,0,0,1,1,0,0
PEDRO OSORIO,2,104,0,19,0,0,9,6,4,1
PEJUCARA,0,47,2,1,0,0,4,3,0,1
PELOTAS,50,3144,388,2290,3,120,871,143,205,231
PICADA CAFE,0,17,0,0,0,0,9,2,2,1
PINHAL,0,19,1,3,0,0,5,1,1,0
PINHAL DA SERRA,0,31,0,0,0,0,4,3,1,1
PINHAL GRANDE,1,15,0,4,0,0,4,3,0,0
PINHEIRINHO DO VALE,0,7,0,0,0,0,0,3,0,1
PINHEIRO MACHADO,2,213,0,7,0,0,21,6,9,3
PINTO BANDEIRA,1,10,0,0,0,0,4,1,0,0
PIRAPO,0,19,0,0,0,0,1,3,0,0
PIRATINI,1,183,14,9,0,3,33,12,6,5
PLANALTO,0,102,6,6,0,0,6,5,4,3
POCO DAS ANTAS,0,12,0,2,0,0,6,0,0,0
PONTAO,0,49,0,3,0,0,4,3,2,0
PONTE PRETA,0,9,0,1,0,0,0,0,0,0
PORTAO,4,320,51,114,0,53,97,10,22,19
PORTO ALEGRE,355,24515,2854,20705,10,4957,6943,738,911,2343
PORTO LUCENA,1,32,1,1,0,0,7,2,0,0
PORTO MAUA,1,19,0,1,0,0,0,3,0,1
PORTO VERA CRUZ,1,14,1,0,0,0,1,1,0,0
PORTO XAVIER,1,97,4,9,0,0,10,13,12,6
POUSO NOVO,0,13,1,1,0,0,4,0,0,0
PRESIDENTE LUCENA,0,14,1,1,0,0,3,0,0,0
PROGRESSO,0,32,1,1,0,0,5,7,4,0
PROTASIO ALVES,0,8,1,0,0,0,1,4,0,0
PUTINGA,0,25,2,5,0,1,7,2,3,0
QUARAI,2,255,12,17,1,1,31,12,12,5
QUATRO IRMAOS,0,3,0,0,0,0,1,4,0,0
QUEVEDOS,0,17,0,3,0,0,0,1,0,0
QUINZE DE NOVEMBRO,0,20,0,0,0,0,2,2,0,0
REDENTORA,0,45,8,2,0,5,6,3,1,0
RELVADO,0,20,0,1,0,1,1,0,0,0
RESTINGA SECA,2,152,3,13,0,1,27,10,5,4
RIO DOS INDIOS,0,23,0,1,0,2,2,3,0,0
RIO GRANDE,26,2495,172,1465,0,35,454,97,167,215
RIO PARDO,1,488,17,40,1,4,39,14,45,13
RIOZINHO,0,31,1,2,0,0,4,1,2,0
ROCA SALES,1,98,8,5,0,0,19,5,1,8
RODEIO BONITO,1,32,3,0,0,0,8,4,7,1
ROLADOR,0,6,0,1,0,0,0,1,1,1
ROLANTE,2,100,9,17,0,5,33,7,32,2
RONDA ALTA,2,53,1,6,0,1,19,4,2,3
RONDINHA,1,30,2,1,0,0,7,1,0,0
ROQUE GONZALES,0,44,2,2,0,0,5,4,2,3
ROSARIO DO SUL,1,519,16,38,0,1,58,30,55,27
SAGRADA FAMILIA,0,10,1,0,0,0,1,2,1,1
SALDANHA MARINHO,0,19,3,0,0,0,6,1,0,0
SALTO DO JACUI,2,152,12,15,0,0,48,10,1,6
SALVADOR DAS MISSOES,0,10,1,0,0,0,3,0,0,0
SALVADOR DO SUL,0,29,3,4,0,1,4,3,5,0
SANANDUVA,1,102,6,9,0,0,17,9,8,8
SANTA BARBARA DO SUL,1,86,1,10,0,1,26,8,4,1
SANTA CECILIA DO SUL,0,17,1,2,0,0,0,1,0,0
SANTA CLARA DO SUL,1,48,1,5,0,4,6,2,3,0
SANTA CRUZ DO SUL,17,1471,315,285,2,22,352,67,80,138
