Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CRISTAL,0,60,1,9,0,1,7,5,2,7
CRISTAL DO SUL,0,8,1,2,0,0,1,2,0,0
CRUZ ALTA,13,889,102,185,0,18,122,80,39,51
CRUZALTENSE,0,8,0,2,0,0,1,1,0,0
CRUZEIRO DO SUL,0,85,8,15,0,5,17,1,4,2
DAVID CANABARRO,0,25,1,2,0,1,5,2,0,0
DERRUBADAS,0,18,0,2,0,0,2,0,0,0
DEZESSEIS DE NOVEMBRO,0,10,0,0,0,0,1,3,0,0
DILERMANDO DE AGUIAR,0,38,1,2,0,0,3,7,0,0
DOIS IRMAOS,0,200,40,23,0,11,51,3,29,9
DOIS IRMAOS DAS MISSOES,0,13,0,0,0,0,1,0,0,0
DOIS LAJEADOS,0,18,0,1,0,2,9,2,0,0
DOM FELICIANO,0,83,10,8,0,1,8,9,2,1
DOM PEDRITO,0,333,18,47,0,0,74,17,36,26
DOM PEDRO DE ALCANTARA,0,15,0,2,0,1,1,0,0,0
DONA FRANCISCA,0,31,1,2,0,0,11,5,1,1
DOUTOR RICARDO,1,15,0,2,0,0,0,1,1,0
DR MAURICIO CARDOSO,0,43,1,1,0,0,3,0,3,0
ELDORADO DO SUL,13,378,13,175,1,18,99,24,49,59
ENCANTADO,1,264,21,28,0,0,45,17,39,19
ENCRUZILHADA DO SUL,5,331,18,35,0,6,39,19,4,9
ENGENHO VELHO,0,7,0,1,0,0,0,3,0,0
ENTRE IJUIS,1,75,4,4,0,0,6,4,8,0
ENTRE RIOS DO SUL,2,31,1,1,0,0,2,1,2,0
EREBANGO,0,24,0,1,0,0,0,1,2,0
ERECHIM,10,1072,129,179,2,10,237,117,155,91
ERNESTINA,1,44,1,1,0,1,2,1,4,0
ERVAL GRANDE,0,15,2,5,0,1,4,3,0,0
ERVAL SECO,2,40,2,4,0,0,7,4,3,0
ESMERALDA,0,55,0,5,0,0,5,7,2,1
ESPERANCA DO SUL,1,15,1,0,0,0,3,1,0,0
