Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
MARQUES DE SOUZA,0,25,1,2,0,0,0,0,1,0
MATA,2,37,0,0,0,0,8,6,0,0
MATO CASTELHANO,0,37,2,2,0,0,4,5,1,1
MATO LEITAO,0,18,2,3,1,2,6,2,2,0
MATO QUEIMADO,0,4,1,0,0,0,1,0,0,0
MAXIMILIANO DE ALMEIDA,0,25,2,0,0,0,2,4,1,2
MINAS DO LEAO,0,67,1,6,0,1,3,2,8,3
MIRAGUAI,2,42,7,4,0,0,2,5,1,1
MONTAURI,0,3,0,0,0,0,3,0,0,0
MONTE ALEGRE DOS CAMPOS,0,15,0,0,0,1,0,1,1,0
MONTE BELO DO SUL,0,13,0,1,0,0,1,1,1,0
MONTENEGRO,6,828,34,84,0,13,108,15,153,58
MORMACO,1,20,3,2,0,0,0,1,0,0
MORRINHOS DO SUL,0,8,0,0,0,0,0,0,0,0
MORRO REDONDO,0,40,0,4,0,0,7,3,1,0
MORRO REUTER,0,30,1,0,0,4,4,0,5,1
MOSTARDAS,4,164,10,11,0,1,21,9,15,26
MUCUM,0,40,4,3,0,1,2,1,3,0
MUITOS CAPOES,0,38,1,1,0,0,3,2,4,0
MULITERNO,0,10,1,0,0,0,2,1,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,2,129,14,17,0,2,31,11,10,19
NICOLAU VERGUEIRO,0,19,0,2,0,1,1,4,1,0
NONOAI,1,108,6,4,0,3,12,8,11,7
NOVA ALVORADA,0,27,0,4,0,0,3,3,1,0
NOVA ARACA,0,31,1,1,0,1,6,1,2,0
NOVA BASSANO,1,57,9,3,0,2,15,5,6,1
NOVA BOA VISTA,0,6,1,0,0,0,0,1,0,0
NOVA BRESCIA,0,22,2,1,0,0,3,2,1,0
NOVA CANDELARIA,0,5,1,0,0,0,1,0,0,0
NOVA ESPERANCA DO SUL,0,27,0,2,0,0,3,6,2,1
NOVA HARTZ,1,124,9,24,1,7,50,2,13,12
NOVA PADUA,0,7,0,1,0,0,1,0,0,0
NOVA PALMA,0,66,0,1,0,1,10,5,0,0
NOVA PETROPOLIS,1,129,10,11,0,1,48,2,24,6
NOVA PRATA,1,150,21,10,0,3,35,8,22,27
NOVA RAMADA,1,10,1,0,0,0,2,1,0,0
NOVA ROMA DO SUL,0,15,0,0,0,0,1,0,1,1
NOVA SANTA RITA,2,221,31,59,0,14,33,7,42,5
NOVO BARREIRO,1,12,1,1,0,0,2,0,1,1
NOVO CABRAIS,0,22,2,0,0,0,3,2,1,0
NOVO HAMBURGO,70,2875,674,1744,2,543,626,107,198,142
NOVO MACHADO,0,15,1,0,0,0,1,4,0,1
NOVO TIRADENTES,0,5,0,0,0,0,1,1,1,0
NOVO XINGU,0,5,0,0,0,0,0,0,0,0
OSORIO,5,854,48,84,0,19,131,21,143,102
PAIM FILHO,1,37,2,2,0,0,1,1,3,0
PALMARES DO SUL,3,309,23,48,1,5,34,10,29,34
PALMEIRA DAS MISSOES,3,348,30,27,1,6,49,24,21,18
PALMITINHO,2,48,4,1,0,0,8,2,0,0
PANAMBI,4,377,33,15,0,7,67,21,12,4
PANTANO GRANDE,0,85,1,12,1,0,10,5,11,6
PARAI,1,43,3,2,0,4,9,2,8,2
PARAISO DO SUL,0,34,5,5,0,1,4,9,0,0
PARECI NOVO,0,28,2,0,0,1,4,1,1,0
PAROBE,13,410,64,131,0,28,91,18,27,26
PASSA SETE,1,30,2,5,0,0,2,3,1,0
PASSO DO SOBRADO,1,68,0,8,0,0,2,3,0,0
PASSO FUNDO,38,2071,383,736,2,145,474,169,133,139
PAULO BENTO,0,20,0,1,0,1,1,1,3,0
PAVERAMA,0,52,5,8,0,1,5,3,4,3
PEDRAS ALTAS,0,47,0,1,0,0,0,0,0,0
PEDRO OSORIO,1,117,1,16,0,0,13,9,10,4
PEJUCARA,0,27,7,0,0,0,9,4,1,2
PELOTAS,50,3510,417,2183,6,161,628,158,183,242
PICADA CAFE,0,30,3,2,0,1,8,1,0,1
PINHAL,1,40,6,5,0,1,3,1,1,2
PINHAL DA SERRA,0,27,1,1,0,0,2,3,0,0
PINHAL GRANDE,1,27,4,0,0,0,10,1,0,0
PINHEIRINHO DO VALE,0,16,3,3,0,0,0,0,1,0
PINHEIRO MACHADO,1,157,4,9,0,2,9,11,5,3
PINTO BANDEIRA,0,9,2,0,0,0,1,0,1,0
PIRAPO,1,22,0,0,0,0,0,2,0,0
PIRATINI,2,172,7,19,0,2,16,8,5,3
PLANALTO,2,81,2,4,0,0,12,7,1,2
POCO DAS ANTAS,0,15,2,0,0,0,2,1,0,0
PONTAO,0,36,1,3,0,1,2,2,0,0
PONTE PRETA,0,12,0,0,0,0,1,0,0,0
PORTAO,9,300,50,95,0,40,59,12,32,12
PORTO ALEGRE,466,25143,2798,19898,18,5531,5726,726,783,1763
PORTO LUCENA,1,36,1,1,0,0,3,2,2,0
PORTO MAUA,0,23,2,0,0,0,1,1,1,1
PORTO VERA CRUZ,0,14,1,0,0,1,0,0,0,0
PORTO XAVIER,1,87,7,3,0,0,6,5,12,4
POUSO NOVO,1,17,1,3,0,0,3,1,1,0
PRESIDENTE LUCENA,0,8,2,0,0,2,5,2,2,1
PROGRESSO,0,38,0,3,0,0,6,7,1,0
PROTASIO ALVES,0,10,2,0,0,0,2,1,0,0
PUTINGA,0,41,3,2,0,1,4,2,0,0
QUARAI,3,257,22,15,0,0,22,6,6,7
QUATRO IRMAOS,0,16,0,0,0,0,0,3,0,0
QUEVEDOS,0,14,0,2,0,0,2,2,0,0
QUINZE DE NOVEMBRO,0,23,2,0,0,1,4,1,1,0
REDENTORA,0,35,3,5,0,2,6,8,2,1
RELVADO,0,15,1,0,0,0,1,0,0,0
RESTINGA SECA,1,162,9,9,0,0,9,8,13,7
RIO DOS INDIOS,1,28,2,0,0,1,0,1,0,0
RIO GRANDE,32,2862,220,1357,3,50,436,122,240,270
RIO PARDO,3,412,23,42,0,2,44,18,32,12
RIOZINHO,0,25,0,1,0,1,3,2,20,1
ROCA SALES,1,126,5,9,0,1,8,1,2,2
RODEIO BONITO,2,32,2,2,0,0,8,4,5,2
ROLADOR,0,14,1,0,0,0,2,0,1,0
ROLANTE,3,128,6,14,0,2,18,11,39,7
RONDA ALTA,1,64,2,5,0,3,10,3,3,1
RONDINHA,0,27,0,3,0,0,4,0,0,0
ROQUE GONZALES,1,43,2,0,0,0,4,4,1,0
ROSARIO DO SUL,4,505,16,25,0,0,44,31,45,33
SAGRADA FAMILIA,0,16,0,2,0,1,1,1,1,0
SALDANHA MARINHO,0,19,3,4,0,2,2,0,1,0
SALTO DO JACUI,0,170,5,14,1,0,31,9,9,5
SALVADOR DAS MISSOES,0,13,0,0,0,0,3,0,0,0
SALVADOR DO SUL,1,35,0,2,0,2,7,0,2,1
SANANDUVA,0,90,7,9,0,2,17,12,2,2
SANTA BARBARA DO SUL,1,95,6,8,0,0,11,4,3,6
SANTA CECILIA DO SUL,0,13,4,0,0,0,2,0,1,0
SANTA CLARA DO SUL,1,32,1,4,0,0,5,0,0,0
SANTA CRUZ DO SUL,26,1577,275,252,0,19,270,56,68,92
SANTA MARGARIDA DO SUL,0,22,0,1,0,0,2,3,0,0
SANTA MARIA,44,3454,209,960,1,27,783,157,295,167
SANTA MARIA DO HERVAL,2,19,1,2,0,0,5,0,0,0
SANTA ROSA,6,668,43,54,0,1,122,37,90,60
SANTA TEREZA,0,19,1,2,0,1,0,0,2,1
SANTA TEREzA,0,2,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,6,679,22,63,0,2,46,21,24,30
SANTANA DA BOA VISTA,0,60,1,0,0,0,5,6,2,0
SANTANA DO LIVRAMENTO,8,958,70,106,0,5,121,35,74,23
SANTIAGO,0,524,9,31,0,0,114,19,81,59
SANTO ANGELO,12,1137,66,136,1,3,117,49,88,45
SANTO ANTONIO DA PATRULHA,2,382,29,75,0,11,54,19,57,25
SANTO ANTONIO DAS MISSOES,0,88,2,4,0,0,7,4,11,2
SANTO ANTONIO DO PALMA,0,20,4,1,0,0,3,1,0,0
SANTO ANTONIO DO PLANALTO,0,15,1,2,0,0,0,0,0,0
SANTO AUGUSTO,2,122,8,5,0,1,15,12,6,7
SANTO CRISTO,0,61,6,1,0,0,16,7,12,3
SANTO EXPEDITO DO SUL,1,4,1,0,0,0,3,3,0,0
SAO BORJA,5,749,34,99,0,2,91,26,35,54
SAO DOMINGOS DO SUL,0,16,1,1,0,0,6,2,0,0
SAO FRANCISCO DE ASSIS,3,149,4,7,0,1,25,16,8,5
SAO FRANCISCO DE PAULA,4,270,11,31,1,8,26,19,10,5
SAO GABRIEL,2,699,20,51,0,1,71,46,32,43
SAO JERONIMO,2,281,7,32,0,5,19,16,69,43
SAO JOAO DA URTIGA,0,17,1,2,0,0,3,2,0,0
SAO JOAO DO POLESINE,1,13,1,0,0,0,10,2,0,0
SAO JORGE,0,17,0,0,0,0,1,0,0,0
SAO JOSE DAS MISSOES,0,7,0,0,0,1,1,2,0,0
SAO JOSE DO HERVAL,0,22,1,6,0,0,2,0,0,1
SAO JOSE DO HORTENCIO,0,21,2,4,0,0,3,0,1,0
SAO JOSE DO INHACORA,0,4,1,0,0,0,2,0,0,0
SAO JOSE DO NORTE,5,240,7,30,0,0,15,11,45,14
SAO JOSE DO OURO,0,49,2,1,0,0,17,3,0,4
SAO JOSE DO SUL,0,18,1,1,0,0,2,1,0,0
SAO JOSE DOS AUSENTES,0,19,0,1,0,0,1,4,5,1
SAO LEOPOLDO,73,2735,448,1433,3,448,525,116,266,193
SAO LOURENCO DO SUL,1,383,10,34,0,2,56,16,79,24
SAO LUIZ GONZAGA,6,561,18,56,2,1,70,33,37,32
SAO MARCOS,3,144,17,9,0,4,37,9,23,6
SAO MARTINHO,0,34,1,1,0,0,7,0,2,2
SAO MARTINHO DA SERRA,0,38,1,2,0,0,2,1,0,0
SAO MIGUEL DAS MISSOES,1,53,0,4,0,0,1,8,1,1
SAO NICOLAU,0,64,0,1,0,0,1,9,2,0
SAO PAULO DAS MISSOES,2,18,2,0,0,0,5,0,0,0
SAO PEDRO DA SERRA,0,12,1,1,0,0,1,0,5,0
SAO PEDRO DAS MISSOES,0,12,0,2,0,0,2,0,0,0
SAO PEDRO DO BUTIA,0,18,0,0,0,0,2,0,0,0
SAO PEDRO DO SUL,1,256,3,19,1,1,34,14,6,2
SAO SEBASTIAO DO CAI,3,308,23,39,0,8,47,7,77,21
SAO SEPE,2,305,5,23,0,1,18,17,12,18
SAO VALENTIM,0,31,0,4,0,0,3,0,3,0
SAO VALENTIM DO SUL,1,14,3,0,0,0,1,1,1,0
SAO VALERIO DO SUL,0,13,0,1,0,0,1,2,0,0
SAO VENDELINO,0,21,0,1,0,2,2,0,2,0
SAO VICENTE DO SUL,0,103,0,2,0,0,8,3,5,4
SAPIRANGA,11,726,104,267,1,43,132,27,85,40
SAPUCAIA DO SUL,26,1519,229,1062,1,159,225,69,113,125
SARANDI,2,190,10,35,0,8,45,15,10,17
SEBERI,3,87,6,11,1,1,12,12,5,4
SEDE NOVA,1,11,0,0,0,0,1,1,0,0
SEGREDO,2,29,2,2,0,1,1,3,0,1
SELBACH,0,41,5,5,0,3,7,1,1,1
SENADOR SALGADO FILHO,0,24,0,0,0,0,1,6,1,0
SENTINELA DO SUL,0,64,2,9,0,0,4,5,3,1
SERAFINA CORREA,1,98,7,10,0,2,31,0,28,3
SERIO,0,7,0,0,0,0,0,0,0,0
SERTAO,0,46,3,2,0,2,8,4,0,1
SERTAO SANTANA,1,48,6,1,0,1,5,5,2,0
SETE DE SETEMBRO,0,22,0,2,0,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,28,0,0,0,0,4,3,0,2
SILVEIRA MARTINS,0,34,1,0,0,0,0,1,0,1
SINIMBU,2,23,3,1,0,0,6,6,0,0
SOBRADINHO,1,276,8,20,0,2,21,4,26,16
SOLEDADE,1,593,25,44,0,3,56,31,70,28
TABAI,0,36,2,14,0,3,2,2,1,0
TAPEJARA,2,218,21,20,0,3,46,5,17,10
TAPERA,0,77,18,6,0,2,8,3,8,18
TAPES,2,282,6,28,0,2,12,13,33,24
TAQUARA,9,581,63,148,0,40,100,28,42,34
TAQUARI,1,210,14,19,0,5,39,6,27,2
TAQUARUCU DO SUL,0,20,2,0,0,0,1,1,0,1
TAVARES,1,49,4,1,0,0,6,2,5,4
TENENTE PORTELA,5,115,13,8,1,0,21,8,6,7
TERRA DE AREIA,0,163,8,15,1,6,13,8,3,11
