Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO VICENTE DO SUL,0,97,3,1,0,0,8,6,5,2
SAPIRANGA,10,680,157,214,0,42,117,19,65,30
SAPUCAIA DO SUL,36,1458,222,1101,3,187,212,49,142,105
SARANDI,2,175,15,34,0,3,27,13,15,13
SEBERI,2,73,3,5,0,1,9,11,5,3
SEDE NOVA,0,5,0,0,0,0,4,1,2,0
SEGREDO,0,45,4,3,0,0,5,5,0,1
SELBACH,0,33,4,4,0,0,2,2,2,1
SENADOR SALGADO FILHO,1,17,0,0,0,0,2,1,1,0
SENTINELA DO SUL,0,50,3,5,0,2,0,4,1,0
SERAFINA CORREA,1,77,7,8,0,1,25,2,12,1
SERIO,0,18,1,3,0,0,0,1,1,0
SERTAO,0,44,2,5,0,0,6,3,1,3
SERTAO SANTANA,0,50,1,2,0,1,0,1,0,0
SETE DE SETEMBRO,0,7,0,2,0,0,1,0,0,0
SEVERIANO DE ALMEIDA,0,23,1,0,0,0,2,2,1,0
SILVEIRA MARTINS,0,21,2,0,1,1,5,1,0,0
SINIMBU,0,29,1,8,0,0,11,2,0,0
SOBRADINHO,2,260,7,26,0,1,25,11,22,10
SOLEDADE,1,607,17,48,0,5,47,31,49,40
TABAI,1,39,3,9,0,9,3,1,0,0
TAPEJARA,1,206,11,21,0,8,42,4,24,14
TAPERA,0,87,6,6,0,1,12,2,11,8
TAPES,3,280,13,23,0,4,20,13,20,16
TAQUARA,16,528,61,157,1,45,86,14,52,33
TAQUARI,0,220,22,15,0,4,45,11,26,9
TAQUARUCU DO SUL,1,9,0,1,0,0,0,0,1,0
TAVARES,1,53,4,0,0,0,11,2,8,13
TENENTE PORTELA,1,123,18,7,0,0,10,8,6,3
TERRA DE AREIA,0,116,4,20,1,1,19,6,6,14
