Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
IGREJINHA,2,277,24,50,0,7,59,17,55,24
IJUI,6,883,63,100,1,5,174,52,89,66
ILOPOLIS,0,27,0,4,0,0,4,3,1,0
IMBE,6,511,20,68,0,17,54,11,8,25
IMIGRANTE,0,14,2,1,0,0,5,0,0,0
INDEPENDENCIA,3,66,0,2,0,0,8,5,2,6
INHACORA,0,17,1,2,0,0,1,4,0,0
IPE,1,54,2,0,0,1,8,3,5,4
IPIRANGA DO SUL,0,13,1,0,0,0,2,3,0,0
IRAI,4,75,3,0,0,0,12,4,17,9
ITAARA,0,58,1,2,0,0,6,2,0,0
ITACURUBI,0,29,0,1,0,0,7,1,1,0
ITAPUCA,0,22,0,0,0,1,1,4,0,0
ITAQUI,2,377,15,73,0,5,44,18,41,57
ITATI,0,9,0,8,0,0,1,2,0,0
ITATIBA DO SUL,1,8,0,1,0,0,3,6,1,0
IVORA,0,9,0,0,0,0,1,1,1,0
IVOTI,0,118,8,17,0,8,71,1,37,4
JABOTICABA,2,14,0,1,0,0,5,2,2,0
JACUIZINHO,0,8,1,0,0,1,2,0,0,0
JACUTINGA,0,11,1,3,0,0,0,0,3,0
JAGUARAO,2,388,27,33,0,0,33,8,14,19
JAGUARI,0,61,0,2,0,0,13,4,3,9
JAQUIRANA,0,44,0,4,0,0,3,1,1,4
JARI,0,17,0,0,0,0,0,5,0,0
JOIA,1,50,2,0,0,0,5,5,0,1
JULIO DE CASTILHOS,5,234,6,22,1,0,27,8,20,9
LAGOA BONITA DO SUL,1,11,0,1,0,0,2,1,0,0
LAGOA DOS TRES CANTOS,0,11,1,0,0,0,1,0,0,1
LAGOA VERMELHA,2,435,24,37,0,6,76,32,38,33
LAGOAO,0,25,0,0,0,0,8,3,0,0
LAJEADO,4,1195,156,206,0,37,255,44,90,79
LAJEADO DO BUGRE,0,9,2,1,0,0,0,11,2,0
LAVRAS DO SUL,0,55,1,1,0,0,5,2,5,3
LIBERATO SALZANO,0,24,1,1,0,0,2,3,1,0
LINDOLFO COLLOR,0,17,0,0,0,0,9,2,8,1
LINHA NOVA,0,7,0,0,0,0,5,0,0,0
MACAMBARA,0,46,2,1,0,0,0,3,0,0
MACHADINHO,0,43,2,2,0,0,3,5,1,2
MAMPITUBA,1,7,0,2,0,0,1,1,1,1
MANOEL VIANA,0,48,2,1,0,1,13,4,5,6
MAQUINE,1,62,1,7,0,0,2,1,4,1
MARATA,0,10,1,0,0,0,4,0,0,0
MARAU,5,347,37,40,0,20,156,30,25,9
MARCELINO RAMOS,0,36,2,0,0,0,8,5,11,2
MARIANA PIMENTEL,0,53,2,1,0,1,1,1,1,0
MARIANO MORO,0,6,0,1,0,0,1,5,1,0
MARQUES DE SOUZA,1,32,1,0,0,1,9,2,2,2
MATA,0,61,1,1,0,0,4,4,0,1
MATO CASTELHANO,0,29,1,4,0,0,5,3,0,0
MATO LEITAO,0,20,0,4,1,1,0,0,1,0
MATO QUEIMADO,0,6,0,0,0,0,2,1,0,0
MAXIMILIANO DE ALMEIDA,1,19,0,2,0,0,7,3,0,0
MINAS DO LEAO,4,83,0,11,0,2,6,2,5,3
MIRAGUAI,1,51,4,8,0,0,1,7,3,1
MONTAURI,0,6,1,1,0,0,2,5,0,0
MONTE ALEGRE DOS CAMPOS,0,26,0,1,0,1,0,2,1,0
MONTE BELO DO SUL,1,21,0,1,0,0,5,0,0,0
MONTENEGRO,6,651,50,100,0,10,156,23,267,82
MORMACO,0,21,1,0,0,0,4,2,0,0
MORRINHOS DO SUL,0,10,0,1,0,0,2,0,0,0
MORRO REDONDO,0,50,2,2,0,1,3,3,1,0
