Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
GRAMADO,2,351,17,29,0,6,148,5,46,24
GRAMADO DOS LOUREIROS,0,14,0,2,0,0,2,3,0,0
GRAMADO XAVIER,1,14,0,1,0,0,4,1,0,0
GRAVATAI,61,2251,492,1592,4,316,718,145,290,204
GUABIJU,0,9,0,0,0,0,2,1,0,0
GUAIBA,21,766,48,461,1,33,160,68,244,120
GUAPORE,3,216,20,5,0,0,80,12,39,31
GUARANI DAS MISSOES,0,82,4,2,0,0,11,2,0,1
HARMONIA,0,20,0,2,0,0,2,0,2,1
HERVAL,0,75,2,5,0,0,4,5,6,0
HERVEIRAS,0,15,2,1,0,0,0,0,1,0
HORIZONTINA,2,153,11,4,0,0,23,5,38,14
HULHA NEGRA,1,43,1,0,0,0,6,1,2,0
HUMAITA,0,20,0,3,0,0,5,0,0,0
IBARAMA,0,27,0,2,0,0,2,5,0,0
IBIACA,0,26,1,3,0,2,11,1,0,0
IBIRAIARAS,1,51,3,0,0,0,15,3,2,0
IBIRAPUITA,0,29,2,5,0,1,2,6,1,1
IBIRUBA,0,120,11,24,1,2,97,2,14,17
IGREJINHA,2,399,36,53,1,5,66,18,146,39
IJUI,6,858,52,95,0,8,199,50,113,92
ILOPOLIS,0,28,1,3,1,1,7,6,6,3
IMBE,9,532,18,65,0,17,57,11,40,23
IMIGRANTE,0,13,0,1,0,0,2,0,1,0
INDEPENDENCIA,0,62,1,2,0,0,5,7,3,1
INHACORA,0,11,0,1,0,0,3,3,1,0
IPE,0,55,1,1,0,0,12,4,1,1
IPIRANGA DO SUL,0,10,0,0,0,1,2,7,0,0
IRAI,2,65,3,2,0,0,11,9,12,9
ITAARA,0,74,1,7,0,1,13,3,3,1
ITACURUBI,0,35,0,0,0,0,3,7,3,1
ITAPUCA,0,22,0,1,0,0,1,4,3,0
ITAQUI,4,386,10,51,0,4,59,21,41,54
ITATI,0,11,0,3,0,0,3,6,0,2
ITATIBA DO SUL,1,22,0,0,0,0,0,4,0,0
IVORA,0,14,0,0,0,0,1,2,0,0
IVOTI,1,131,18,20,0,4,51,1,28,7
JABOTICABA,0,21,0,4,0,0,2,8,2,0
JACUIZINHO,0,12,1,1,0,0,1,1,1,0
JACUTINGA,0,19,1,1,0,0,1,0,0,0
JAGUARAO,1,407,31,43,0,0,42,6,18,12
JAGUARI,0,61,0,1,0,0,12,6,4,3
JAQUIRANA,1,46,1,3,0,1,2,3,1,0
JARI,0,30,0,0,0,0,2,4,1,0
JOIA,0,35,3,1,0,0,3,6,0,0
JULIO DE CASTILHOS,1,208,15,21,0,1,36,5,13,11
LAGOA BONITA DO SUL,0,15,0,0,0,0,3,1,0,0
LAGOA DOS TRES CANTOS,0,5,1,1,0,0,2,0,0,0
LAGOA VERMELHA,5,417,16,31,0,5,77,21,47,24
LAGOAO,0,23,0,3,0,0,3,1,0,1
LAJEADO,11,1080,140,232,0,41,211,61,118,94
LAJEADO DO BUGRE,0,7,1,2,0,0,2,10,6,0
LAVRAS DO SUL,0,35,0,1,0,0,6,1,3,4
LIBERATO SALZANO,0,33,1,1,0,1,2,6,2,0
LINDOLFO COLLOR,0,14,1,1,0,0,11,0,6,1
LINHA NOVA,0,7,0,0,0,0,1,0,0,0
MACAMBARA,0,37,1,0,0,0,0,4,0,0
MACHADINHO,0,49,3,0,0,0,5,5,3,0
MAMPITUBA,1,7,1,0,0,0,1,1,0,0
MANOEL VIANA,0,39,1,0,0,0,17,5,1,1
MAQUINE,1,64,2,5,0,2,5,4,2,3
MARATA,0,11,2,0,0,0,1,2,1,0
MARAU,4,377,54,39,0,19,139,33,30,8
MARCELINO RAMOS,0,29,0,2,0,0,6,1,1,0
MARIANA PIMENTEL,0,42,2,6,0,0,7,3,0,1
MARIANO MORO,0,8,1,0,0,0,1,2,1,1
MARQUES DE SOUZA,0,31,1,1,0,0,4,2,0,1
MATA,0,47,1,2,0,0,4,1,0,0
MATO CASTELHANO,1,36,0,4,0,0,4,4,1,0
MATO LEITAO,1,16,2,3,0,0,3,2,0,0
MATO QUEIMADO,0,6,0,0,0,0,1,0,0,0
MAXIMILIANO DE ALMEIDA,0,14,0,1,0,0,7,7,2,0
MINAS DO LEAO,0,89,1,4,0,0,4,7,4,6
MIRAGUAI,1,65,8,6,0,2,0,4,2,0
MONTAURI,0,4,0,0,0,0,1,1,0,0
MONTE ALEGRE DOS CAMPOS,0,16,0,2,0,0,1,4,2,0
MONTE BELO DO SUL,0,15,1,0,0,0,2,1,0,0
MONTENEGRO,4,706,55,96,2,13,131,24,305,91
MORMACO,0,26,5,0,0,2,0,0,0,0
MORRINHOS DO SUL,0,7,0,1,0,1,2,1,0,1
MORRO REDONDO,0,42,3,3,0,0,4,3,2,1
MORRO REUTER,0,35,0,2,0,3,9,4,5,1
MOSTARDAS,3,170,5,8,0,0,20,6,8,8
MUCUM,0,54,3,4,0,0,8,0,3,0
MUITOS CAPOES,0,42,0,1,0,0,2,3,0,0
MULITERNO,0,16,1,0,0,1,2,2,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,2,149,8,18,0,5,33,9,10,11
NICOLAU VERGUEIRO,0,9,2,1,0,1,2,2,1,0
NONOAI,2,112,7,6,0,0,16,12,13,3
NOVA ALVORADA,0,14,2,7,0,0,9,2,0,1
NOVA ARACA,1,24,2,5,0,0,7,2,2,0
NOVA BASSANO,3,46,2,3,0,0,12,6,7,2
NOVA BOA VISTA,0,6,0,1,0,0,2,0,0,0
NOVA BRESCIA,0,36,1,0,0,0,4,1,3,0
NOVA CANDELARIA,0,12,1,1,0,0,3,0,0,0
NOVA ESPERANCA DO SUL,0,23,0,0,0,0,9,2,3,1
NOVA HARTZ,3,110,12,24,0,6,69,4,28,8
NOVA PADUA,0,9,0,0,0,1,5,0,0,0
NOVA PALMA,2,53,0,4,0,1,10,4,0,0
NOVA PETROPOLIS,0,114,1,6,1,2,59,3,33,9
NOVA PRATA,1,148,16,18,1,2,48,10,24,16
NOVA RAMADA,0,12,0,0,0,0,0,4,0,0
NOVA ROMA DO SUL,0,14,0,0,0,0,5,1,0,0
NOVA SANTA RITA,8,252,26,54,1,10,67,9,29,6
NOVO BARREIRO,0,14,1,2,0,0,1,3,0,0
NOVO CABRAIS,0,25,2,1,0,0,0,5,3,0
NOVO HAMBURGO,40,2839,754,1823,3,513,758,120,314,210
NOVO MACHADO,0,14,2,2,0,0,3,2,0,0
NOVO TIRADENTES,0,5,1,0,0,0,1,0,0,0
NOVO XINGU,0,4,0,0,0,0,0,0,0,0
OSORIO,6,729,50,111,0,14,154,20,97,80
PAIM FILHO,1,35,1,3,0,0,5,1,1,1
PALMARES DO SUL,2,181,6,21,0,5,14,7,7,4
PALMEIRA DAS MISSOES,2,380,27,25,0,2,65,27,25,36
PALMITINHO,0,33,4,0,0,0,4,7,3,2
PANAMBI,3,329,16,26,0,3,96,14,22,15
PANTANO GRANDE,1,89,4,9,0,1,17,3,15,5
PARAI,2,34,5,3,0,1,9,4,5,3
PARAISO DO SUL,1,22,1,3,0,0,2,4,0,0
PARECI NOVO,0,36,0,2,0,1,7,1,1,2
PAROBE,4,379,71,138,0,38,108,27,45,26
PASSA SETE,1,45,3,2,0,0,4,8,0,0
PASSO DO SOBRADO,0,64,1,5,0,1,6,1,0,0
PASSO FUNDO,36,1876,348,771,1,152,511,152,192,171
PAULO BENTO,0,19,0,1,0,0,1,4,1,0
PAVERAMA,0,35,3,11,0,2,7,0,3,3
PEDRAS ALTAS,1,39,1,0,0,0,2,0,0,0
PEDRO OSORIO,0,133,4,18,0,1,12,5,2,3
PEJUCARA,0,30,0,1,0,0,4,0,0,1
PELOTAS,55,3382,442,2476,4,151,823,190,195,237
PICADA CAFE,0,27,1,1,0,0,8,0,2,0
PINHAL,0,27,1,1,0,0,1,0,0,0
PINHAL DA SERRA,0,20,0,0,0,0,3,4,1,0
PINHAL GRANDE,0,27,2,3,0,0,6,4,0,0
PINHEIRINHO DO VALE,0,16,1,1,0,0,0,1,0,0
PINHEIRO MACHADO,0,124,4,9,0,0,26,3,8,8
PINTO BANDEIRA,0,5,1,1,1,0,2,1,2,1
PIRAPO,0,25,0,0,0,0,0,10,0,0
PIRATINI,0,188,9,12,0,1,19,13,5,8
PLANALTO,2,75,2,2,0,0,6,16,8,5
POCO DAS ANTAS,0,6,0,1,0,0,3,1,0,0
PONTAO,0,22,1,3,0,0,3,1,1,0
PONTE PRETA,0,7,0,0,0,0,2,0,0,0
PORTAO,3,410,51,110,2,29,90,15,30,18
PORTO ALEGRE,345,25822,2826,20766,7,5001,6631,766,1128,2152
PORTO LUCENA,0,26,0,0,0,0,3,2,1,2
PORTO MAUA,0,28,0,3,0,0,3,3,0,3
PORTO VERA CRUZ,0,13,0,1,0,0,0,7,0,0
PORTO XAVIER,2,63,2,1,0,0,2,17,16,5
POUSO NOVO,0,18,0,3,0,2,3,1,2,0
PRESIDENTE LUCENA,0,15,0,1,0,1,6,1,2,0
PROGRESSO,1,40,1,0,0,0,6,9,2,3
PROTASIO ALVES,0,5,0,0,0,0,1,4,0,0
PUTINGA,0,35,0,2,0,0,1,9,1,1
QUARAI,5,286,13,17,0,0,21,16,18,14
QUATRO IRMAOS,0,7,0,0,0,0,4,1,0,0
QUEVEDOS,0,18,0,1,0,0,1,2,0,0
QUINZE DE NOVEMBRO,1,22,1,2,0,0,0,2,2,0
REDENTORA,1,62,6,2,1,0,5,11,0,3
RELVADO,0,12,1,0,0,0,1,1,0,0
RESTINGA SECA,0,142,5,12,0,2,23,9,5,8
RIO DOS INDIOS,0,24,0,1,0,3,0,3,0,0
RIO GRANDE,27,2494,205,1694,0,42,421,123,156,251
RIO PARDO,6,364,10,34,0,1,52,19,44,20
RIOZINHO,0,30,3,3,0,1,3,3,1,0
ROCA SALES,1,119,6,12,0,1,18,5,8,6
RODEIO BONITO,0,21,5,1,0,0,15,6,8,3
ROLADOR,0,10,0,0,0,0,2,0,0,0
ROLANTE,2,118,7,42,0,3,30,6,24,10
RONDA ALTA,1,60,6,9,0,0,17,2,0,0
RONDINHA,0,24,4,5,0,0,4,1,0,0
ROQUE GONZALES,1,42,2,3,0,0,2,10,6,1
ROSARIO DO SUL,1,452,13,33,2,1,71,33,30,31
SAGRADA FAMILIA,0,14,1,0,0,0,4,1,0,0
SALDANHA MARINHO,0,10,1,6,0,3,1,1,0,1
SALTO DO JACUI,3,134,9,13,0,1,48,7,3,6
SALVADOR DAS MISSOES,0,23,2,1,0,0,2,1,0,0
SALVADOR DO SUL,0,33,3,1,0,1,11,1,7,2
SANANDUVA,0,124,10,8,0,2,17,15,4,9
SANTA BARBARA DO SUL,0,96,2,6,0,1,19,12,5,4
SANTA CECILIA DO SUL,0,17,0,0,0,0,2,5,1,1
SANTA CLARA DO SUL,0,23,2,1,0,0,8,2,2,0
SANTA CRUZ DO SUL,21,1854,190,284,1,20,333,51,105,158
SANTA MARGARIDA DO SUL,0,24,2,0,0,1,1,1,0,0
SANTA MARIA,29,3446,227,908,4,17,924,175,366,246
SANTA MARIA DO HERVAL,1,16,3,2,0,2,9,0,3,0
SANTA ROSA,6,663,39,51,0,2,142,38,147,82
SANTA TEREZA,0,16,0,0,0,0,1,0,0,0
SANTA TEREzA,0,0,0,0,0,0,0,0,1,0
SANTA VITORIA DO PALMAR,4,569,22,46,0,4,55,13,7,15
SANTANA DA BOA VISTA,1,61,1,4,0,2,5,5,4,2
SANTANA DO LIVRAMENTO,10,939,56,117,1,8,156,48,154,36
SANTIAGO,3,445,12,33,0,1,150,35,130,87
SANTO ANGELO,7,1136,71,153,0,9,173,56,128,69
SANTO ANTONIO DA PATRULHA,3,363,50,57,0,5,72,20,32,30
SANTO ANTONIO DAS MISSOES,3,104,0,3,0,0,7,9,19,18
SANTO ANTONIO DO PALMA,0,16,0,1,0,0,3,2,0,0
SANTO ANTONIO DO PLANALTO,0,10,0,2,0,2,3,0,0,1
SANTO AUGUSTO,1,139,9,11,0,0,22,16,11,10
SANTO CRISTO,0,40,3,1,0,0,9,6,12,1
SANTO EXPEDITO DO SUL,0,15,0,1,0,0,0,9,0,0
SAO BORJA,2,759,29,103,0,3,119,21,75,102
SAO DOMINGOS DO SUL,0,10,3,1,0,0,5,0,2,0
SAO FRANCISCO DE ASSIS,0,173,1,5,0,0,22,17,9,10
SAO FRANCISCO DE PAULA,5,302,7,22,1,6,44,14,13,7
SAO GABRIEL,1,623,23,50,0,3,74,46,63,81
SAO JERONIMO,4,272,15,28,0,2,20,12,25,27
SAO JOAO DA URTIGA,0,16,1,1,0,0,5,8,0,0
SAO JOAO DO POLESINE,0,26,0,2,0,0,7,2,1,0
SAO JORGE,0,11,0,0,0,0,3,3,0,1
SAO JOSE DAS MISSOES,0,10,0,0,0,0,0,3,0,0
SAO JOSE DO HERVAL,0,18,0,3,0,0,1,1,0,0
SAO JOSE DO HORTENCIO,0,13,0,1,0,2,6,2,2,0
SAO JOSE DO INHACORA,0,3,0,0,0,0,1,4,1,0
SAO JOSE DO NORTE,4,270,5,35,0,0,13,12,21,17
SAO JOSE DO OURO,1,48,2,1,0,0,10,3,2,2
